idx,weight,value,ratio
0,1,178.83,178.8300
1,74,253.85,3.4304
2,14,388.36,27.7400
3,7,313.19,44.7414
4,63,297.68,4.7251
5,24,204.91,8.5379
6,82,412.30,5.0280
7,86,207.49,2.4127
8,17,188.64,11.0965
9,83,419.87,5.0587
10,65,216.84,3.3360
11,96,172.10,1.7927
12,81,274.83,3.3930
13,68,255.07,3.7510
14,100,145.37,1.4537
15,100,197.40,1.9740
16,4,420.87,105.2175
17,86,348.01,4.0466
18,73,357.18,4.8929
19,35,336.99,9.6283
212,92,202.69,2.2032
404,93,136.74,1.4703
596,26,304.60,11.7154
788,48,393.95,8.2073
980,16,420.15,26.2594
1172,80,398.57,4.9821
1364,29,344.55,11.8810
1556,87,273.46,3.1432
1748,75,200.66,2.6755
1940,11,141.51,12.8645
2132,20,111.37,5.5685
2324,55,125.61,2.2838
2516,38,199.57,5.2518
2708,22,348.62,15.8464
2900,31,260.44,8.4013
3092,18,278.07,15.4483
3284,5,416.87,83.3740
3476,45,364.53,8.1007
3668,62,136.39,2.1998
3860,9,403.18,44.7978
4052,8,197.22,24.6525
4244,80,189.23,2.3654
4436,14,394.57,28.1836
4628,96,173.24,1.8046
4820,15,195.97,13.0647
5012,27,150.42,5.5711
5204,85,379.64,4.4664
5396,11,243.63,22.1482
5588,26,413.11,15.8888
5780,19,248.08,13.0568
5980,100,415.91,4.1591
5981,6,400.64,66.7733
5982,60,124.04,2.0673
5983,31,249.07,8.0345
5984,71,396.19,5.5801
5985,31,408.83,13.1881
5986,87,112.26,1.2903
5987,53,280.09,5.2847
5988,40,234.48,5.8620
5989,15,232.88,15.5253
5990,26,259.68,9.9877
5991,9,232.99,25.8878
5992,60,352.74,5.8790
5993,7,119.82,17.1171
5994,42,324.22,7.7195
5995,19,317.45,16.7079
5996,1,213.79,213.7900
5997,43,285.84,6.6474
5998,34,195.83,5.7597
5999,2,375.01,187.5050
