idx,weight,value,ratio
0,63,409.20,6.4952
1,15,103.30,6.8867
2,20,414.57,20.7285
3,100,420.31,4.2031
4,36,118.20,3.2833
5,75,232.73,3.1031
6,33,311.58,9.4418
7,45,129.96,2.8880
8,97,249.07,2.5677
9,2,225.15,112.5750
10,50,105.84,2.1168
11,99,404.21,4.0829
12,51,351.65,6.8951
13,99,342.47,3.4593
14,90,344.54,3.8282
15,57,364.26,6.3905
16,54,250.50,4.6389
17,94,124.54,1.3249
18,88,401.31,4.5603
19,10,119.99,11.9990
180,61,204.20,3.3475
340,95,238.34,2.5088
500,27,325.94,12.0719
660,22,296.11,13.4595
820,23,141.81,6.1657
980,26,347.52,13.3662
1140,12,250.85,20.9042
1300,76,336.26,4.4245
1460,62,269.05,4.3395
1620,34,206.02,6.0594
1780,72,140.11,1.9460
1940,37,228.14,6.1659
2100,8,135.38,16.9225
2260,81,346.31,4.2754
2420,69,198.54,2.8774
2580,34,176.53,5.1921
2740,22,273.26,12.4209
2900,97,317.85,3.2768
3060,1,303.24,303.2400
3220,32,386.25,12.0703
3380,69,232.15,3.3645
3540,8,325.42,40.6775
3700,62,331.35,5.3444
3860,25,406.73,16.2692
4020,43,216.84,5.0428
4180,48,246.16,5.1283
4340,14,159.97,11.4264
4500,75,115.08,1.5344
4660,42,104.44,2.4867
4820,75,284.86,3.7981
4980,23,321.60,13.9826
4981,81,103.64,1.2795
4982,10,169.54,16.9540
4983,8,308.03,38.5037
4984,7,193.53,27.6471
4985,85,345.67,4.0667
4986,49,200.31,4.0880
4987,14,350.20,25.0143
4988,89,226.91,2.5496
4989,100,321.18,3.2118
4990,62,214.63,3.4618
4991,22,220.77,10.0350
4992,85,305.68,3.5962
4993,60,104.29,1.7382
4994,34,134.46,3.9547
4995,50,376.97,7.5394
4996,82,236.52,2.8844
4997,53,138.88,2.6204
4998,63,342.74,5.4403
4999,36,264.08,7.3356
