idx,weight,value,ratio
0,73,425.40,5.8274
1,52,119.18,2.2919
2,94,176.77,1.8805
3,89,311.22,3.4969
4,26,346.43,13.3242
5,18,121.25,6.7361
6,25,267.18,10.6872
7,26,383.72,14.7585
8,80,190.50,2.3813
9,88,294.12,3.3423
10,35,326.91,9.3403
11,6,322.91,53.8183
12,99,283.81,2.8668
13,51,186.82,3.6631
14,53,221.64,4.1819
15,92,161.44,1.7548
16,10,298.08,29.8080
17,51,420.88,8.2525
18,16,376.59,23.5369
19,4,134.70,33.6750
115,92,248.67,2.7029
210,79,181.34,2.2954
305,96,265.51,2.7657
400,7,226.80,32.4000
495,15,384.23,25.6153
590,99,269.90,2.7263
685,71,232.57,3.2756
780,8,187.81,23.4763
875,87,120.44,1.3844
970,63,404.77,6.4249
1065,63,282.78,4.4886
1160,9,134.27,14.9189
1255,53,166.57,3.1428
1350,100,268.28,2.6828
1445,37,291.27,7.8722
1540,66,417.56,6.3267
1635,80,200.75,2.5094
1730,16,414.63,25.9144
1825,57,278.97,4.8942
1920,95,371.03,3.9056
2015,83,292.00,3.5181
2110,31,425.43,13.7235
2205,82,134.87,1.6448
2300,37,172.39,4.6592
2395,41,233.42,5.6932
2490,83,219.13,2.6401
2585,37,198.38,5.3616
2680,41,289.48,7.0605
2775,76,390.75,5.1414
2870,94,254.55,2.7080
2980,87,275.77,3.1698
2981,78,224.02,2.8721
2982,55,181.25,3.2955
2983,13,220.15,16.9346
2984,93,151.32,1.6271
2985,16,263.59,16.4744
2986,77,206.77,2.6853
2987,29,182.31,6.2866
2988,25,152.49,6.0996
2989,50,241.53,4.8306
2990,96,252.30,2.6281
2991,56,418.66,7.4761
2992,26,355.77,13.6835
2993,95,162.72,1.7128
2994,3,108.49,36.1633
2995,37,368.75,9.9662
2996,85,419.94,4.9405
2997,19,286.66,15.0874
2998,49,300.96,6.1420
2999,94,270.10,2.8734
