idx,weight,value,ratio
0,91,303.30,3.3330
1,85,209.65,2.4665
2,71,416.45,5.8655
3,33,313.00,9.4848
4,89,241.20,2.7101
5,76,197.61,2.6001
6,86,360.47,4.1915
7,1,367.64,367.6400
8,53,315.95,5.9613
9,18,235.20,13.0667
10,50,107.33,2.1466
11,73,226.69,3.1053
12,4,225.32,56.3300
13,13,195.62,15.0477
14,38,228.64,6.0168
15,63,132.42,2.1019
16,4,298.96,74.7400
17,60,150.39,2.5065
18,87,213.37,2.4525
19,90,167.65,1.8628
212,50,271.22,5.4244
404,26,378.03,14.5396
596,96,176.56,1.8392
788,11,337.54,30.6855
980,94,220.97,2.3507
1172,99,169.89,1.7161
1364,81,199.66,2.4649
1556,95,325.64,3.4278
1748,95,235.51,2.4791
1940,35,272.31,7.7803
2132,73,123.72,1.6948
2324,60,132.78,2.2130
2516,19,314.85,16.5711
2708,72,357.61,4.9668
2900,38,276.42,7.2742
3092,40,414.32,10.3580
3284,100,131.31,1.3131
3476,73,425.79,5.8327
3668,10,330.08,33.0080
3860,37,187.22,5.0600
4052,73,340.25,4.6610
4244,5,149.17,29.8340
4436,23,284.70,12.3783
4628,14,106.84,7.6314
4820,33,286.31,8.6761
5012,2,183.11,91.5550
5204,76,140.28,1.8458
5396,6,173.19,28.8650
5588,86,297.18,3.4556
5780,99,199.94,2.0196
5980,52,196.70,3.7827
5981,42,337.73,8.0412
5982,4,128.19,32.0475
5983,60,350.78,5.8463
5984,65,180.23,2.7728
5985,96,417.55,4.3495
5986,84,159.70,1.9012
5987,79,273.65,3.4639
5988,44,135.87,3.0880
5989,11,300.81,27.3464
5990,38,386.96,10.1832
5991,82,145.20,1.7707
5992,8,187.74,23.4675
5993,47,339.23,7.2177
5994,10,363.48,36.3480
5995,32,137.74,4.3044
5996,65,281.63,4.3328
5997,12,344.29,28.6908
5998,100,105.04,1.0504
5999,87,406.21,4.6691
