idx,weight,value,ratio
0,62,147.56,2.3800
1,70,217.59,3.1084
2,8,133.71,16.7138
3,44,422.29,9.5975
4,50,355.32,7.1064
5,48,305.71,6.3690
6,31,174.43,5.6268
7,26,166.84,6.4169
8,95,286.66,3.0175
9,95,105.84,1.1141
10,93,217.87,2.3427
11,76,186.04,2.4479
12,28,191.40,6.8357
13,40,281.63,7.0408
14,69,167.19,2.4230
15,30,358.69,11.9563
16,48,158.90,3.3104
17,23,134.72,5.8574
18,51,201.01,3.9414
19,87,175.00,2.0115
180,54,392.93,7.2765
340,57,274.81,4.8212
500,78,351.89,4.5114
660,22,371.40,16.8818
820,7,244.35,34.9071
980,8,373.32,46.6650
1140,42,341.65,8.1345
1300,83,224.25,2.7018
1460,81,259.81,3.2075
1620,11,195.55,17.7773
1780,58,270.18,4.6583
1940,60,230.90,3.8483
2100,3,316.43,105.4767
2260,62,273.98,4.4190
2420,86,342.26,3.9798
2580,17,268.47,15.7924
2740,37,291.33,7.8738
2900,89,158.05,1.7758
3060,58,107.34,1.8507
3220,14,214.08,15.2914
3380,79,389.31,4.9280
3540,23,380.24,16.5322
3700,34,425.58,12.5171
3860,82,272.53,3.3235
4020,89,159.81,1.7956
4180,58,162.31,2.7984
4340,78,191.06,2.4495
4500,51,320.94,6.2929
4660,99,135.31,1.3668
4820,93,364.42,3.9185
4980,86,263.94,3.0691
4981,81,233.33,2.8806
4982,18,354.54,19.6967
4983,89,240.06,2.6973
4984,47,102.83,2.1879
4985,63,184.12,2.9225
4986,4,112.66,28.1650
4987,70,286.96,4.0994
4988,66,351.28,5.3224
4989,33,370.69,11.2330
4990,39,268.75,6.8910
4991,43,359.19,8.3533
4992,86,113.52,1.3200
4993,70,403.63,5.7661
4994,41,177.56,4.3307
4995,33,396.71,12.0215
4996,55,111.29,2.0235
4997,44,114.83,2.6098
4998,15,284.60,18.9733
4999,24,407.85,16.9938
