idx,weight,value,ratio
0,92,237.26,2.5789
1,30,423.03,14.1010
2,82,369.63,4.5077
3,89,311.01,3.4945
4,7,331.76,47.3943
5,4,124.63,31.1575
6,20,169.94,8.4970
7,20,330.76,16.5380
8,56,278.36,4.9707
9,25,354.51,14.1804
10,75,322.98,4.3064
11,95,117.17,1.2334
12,28,385.57,13.7704
13,72,256.45,3.5618
14,58,405.99,6.9998
15,89,137.98,1.5503
16,10,390.55,39.0550
17,32,140.21,4.3816
18,23,413.67,17.9857
19,13,112.63,8.6638
212,49,301.24,6.1478
404,2,169.45,84.7250
596,55,206.82,3.7604
788,30,101.05,3.3683
980,13,195.17,15.0131
1172,93,176.86,1.9017
1364,59,389.16,6.5959
1556,97,192.06,1.9800
1748,97,256.30,2.6423
1940,13,269.55,20.7346
2132,66,247.17,3.7450
2324,45,204.52,4.5449
2516,36,156.95,4.3597
2708,97,119.84,1.2355
2900,46,108.54,2.3596
3092,72,138.41,1.9224
3284,64,224.81,3.5127
3476,76,383.09,5.0407
3668,30,300.95,10.0317
3860,12,321.42,26.7850
4052,79,132.18,1.6732
4244,52,403.94,7.7681
4436,17,169.04,9.9435
4628,32,425.87,13.3084
4820,83,206.75,2.4910
5012,23,182.40,7.9304
5204,45,368.17,8.1816
5396,31,124.08,4.0026
5588,7,120.84,17.2629
5780,59,373.81,6.3358
5980,98,298.35,3.0444
5981,28,363.99,12.9996
5982,28,169.75,6.0625
5983,51,384.82,7.5455
5984,67,314.37,4.6921
5985,1,177.14,177.1400
5986,86,306.48,3.5637
5987,37,209.21,5.6543
5988,74,132.80,1.7946
5989,39,324.71,8.3259
5990,3,349.02,116.3400
5991,75,250.30,3.3373
5992,63,176.17,2.7963
5993,2,239.55,119.7750
5994,30,100.64,3.3547
5995,48,306.82,6.3921
5996,2,304.65,152.3250
5997,27,273.45,10.1278
5998,92,180.18,1.9585
5999,31,390.47,12.5958
