idx,weight,value,ratio
0,30,334.57,11.1523
1,89,245.91,2.7630
2,76,343.42,4.5187
3,96,203.90,2.1240
4,34,183.56,5.3988
5,53,424.49,8.0092
6,36,270.66,7.5183
7,62,408.28,6.5852
8,75,217.93,2.9057
9,6,221.55,36.9250
10,22,106.30,4.8318
11,61,212.75,3.4877
12,58,308.75,5.3233
13,42,169.06,4.0252
14,68,206.82,3.0415
15,32,298.81,9.3378
16,92,233.24,2.5352
17,92,363.68,3.9530
18,76,369.54,4.8624
19,38,329.63,8.6745
244,24,107.79,4.4912
468,35,311.55,8.9014
692,61,102.35,1.6779
916,16,257.78,16.1112
1140,99,408.56,4.1269
1364,58,349.25,6.0216
1588,57,365.94,6.4200
1812,9,253.18,28.1311
2036,81,297.05,3.6673
2260,85,292.12,3.4367
2484,22,196.77,8.9441
2708,34,133.26,3.9194
2932,91,387.66,4.2600
3156,4,426.86,106.7150
3380,74,209.25,2.8277
3604,11,184.74,16.7945
3828,17,311.76,18.3388
4052,4,384.84,96.2100
4276,2,362.40,181.2000
4500,29,366.67,12.6438
4724,80,356.05,4.4506
4948,35,125.10,3.5743
5172,62,287.59,4.6385
5396,6,310.39,51.7317
5620,66,151.90,2.3015
5844,22,262.04,11.9109
6068,39,271.54,6.9626
6292,31,302.63,9.7623
6516,96,313.71,3.2678
6740,49,427.03,8.7149
6980,53,164.84,3.1102
6981,96,136.65,1.4234
6982,80,292.57,3.6571
6983,99,279.44,2.8226
6984,12,138.02,11.5017
6985,65,126.72,1.9495
6986,16,366.52,22.9075
6987,82,207.53,2.5309
6988,29,190.80,6.5793
6989,14,188.79,13.4850
6990,70,367.84,5.2549
6991,23,369.80,16.0783
6992,80,346.78,4.3347
6993,59,343.36,5.8197
6994,59,391.46,6.6349
6995,74,158.70,2.1446
6996,65,332.19,5.1106
6997,47,310.00,6.5957
6998,18,199.69,11.0939
6999,39,315.01,8.0772
