idx,weight,value,ratio
0,85,211.23,2.4851
1,48,285.62,5.9504
2,62,240.44,3.8781
3,86,422.69,4.9150
4,12,426.47,35.5392
5,10,309.63,30.9630
6,33,323.50,9.8030
7,17,387.33,22.7841
8,82,399.16,4.8678
9,92,230.13,2.5014
10,99,331.30,3.3465
11,43,337.19,7.8416
12,76,139.16,1.8311
13,5,271.45,54.2900
14,57,227.25,3.9868
15,38,119.45,3.1434
16,49,188.34,3.8437
17,100,285.34,2.8534
18,30,307.73,10.2577
19,22,366.41,16.6550
83,29,358.85,12.3741
146,7,151.56,21.6514
209,79,192.41,2.4356
272,22,370.73,16.8514
335,46,266.27,5.7885
398,4,240.80,60.2000
461,20,164.68,8.2340
524,31,350.18,11.2961
587,29,188.88,6.5131
650,8,304.95,38.1187
713,66,364.43,5.5217
776,86,309.33,3.5969
839,2,250.43,125.2150
902,3,286.58,95.5267
965,42,113.91,2.7121
1028,44,134.67,3.0607
1091,41,264.17,6.4432
1154,41,287.17,7.0041
1217,45,421.04,9.3564
1280,49,275.47,5.6218
1343,53,171.85,3.2425
1406,100,361.05,3.6105
1469,43,424.78,9.8786
1532,49,329.37,6.7218
1595,36,359.91,9.9975
1658,39,186.44,4.7805
1721,74,271.36,3.6670
1784,90,126.51,1.4057
1847,88,214.35,2.4358
1910,11,251.98,22.9073
1980,38,402.13,10.5824
1981,56,102.09,1.8230
1982,54,187.26,3.4678
1983,81,235.67,2.9095
1984,90,338.28,3.7587
1985,95,348.88,3.6724
1986,57,181.13,3.1777
1987,16,374.83,23.4269
1988,73,354.53,4.8566
1989,44,188.31,4.2798
1990,67,281.02,4.1943
1991,29,192.71,6.6452
1992,86,254.44,2.9586
1993,16,200.05,12.5031
1994,13,289.48,22.2677
1995,59,300.76,5.0976
1996,95,167.55,1.7637
1997,20,374.82,18.7410
1998,7,361.26,51.6086
1999,9,302.30,33.5889
