idx,weight,value,ratio
0,33,319.50,9.6818
1,55,225.53,4.1005
2,45,178.65,3.9700
3,23,203.91,8.8657
4,79,141.76,1.7944
5,19,413.81,21.7795
6,77,316.07,4.1048
7,50,293.72,5.8744
8,36,257.37,7.1492
9,72,304.16,4.2244
10,67,328.40,4.9015
11,12,145.39,12.1158
12,51,157.48,3.0878
13,66,367.65,5.5705
14,1,105.74,105.7400
15,98,257.29,2.6254
16,61,346.53,5.6808
17,17,119.05,7.0029
18,15,188.65,12.5767
19,83,182.36,2.1971
147,14,209.63,14.9736
274,98,108.88,1.1110
401,78,232.53,2.9812
528,88,291.10,3.3080
655,50,335.13,6.7026
782,29,274.98,9.4821
909,47,157.64,3.3540
1036,66,298.82,4.5276
1163,24,305.64,12.7350
1290,35,277.80,7.9371
1417,73,192.50,2.6370
1544,28,424.46,15.1593
1671,77,206.44,2.6810
1798,100,310.70,3.1070
1925,22,245.52,11.1600
2052,43,293.35,6.8221
2179,7,262.85,37.5500
2306,18,213.97,11.8872
2433,55,108.52,1.9731
2560,53,277.86,5.2426
2687,76,378.15,4.9757
2814,80,333.70,4.1712
2941,2,243.93,121.9650
3068,20,164.99,8.2495
3195,21,203.98,9.7133
3322,47,291.69,6.2062
3449,72,155.31,2.1571
3576,74,322.41,4.3569
3703,91,398.57,4.3799
3830,31,253.96,8.1923
3980,76,215.34,2.8334
3981,17,297.22,17.4835
3982,42,213.86,5.0919
3983,82,207.90,2.5354
3984,57,366.27,6.4258
3985,27,378.85,14.0315
3986,3,153.35,51.1167
3987,100,293.74,2.9374
3988,68,223.72,3.2900
3989,80,367.02,4.5877
3990,22,392.23,17.8286
3991,20,395.82,19.7910
3992,88,206.77,2.3497
3993,23,155.15,6.7457
3994,42,127.46,3.0348
3995,41,262.67,6.4066
3996,20,215.67,10.7835
3997,29,291.90,10.0655
3998,88,275.22,3.1275
3999,89,124.67,1.4008
