idx,weight,value,ratio
0,79,376.80,4.7696
1,8,399.21,49.9012
2,71,234.81,3.3072
3,20,310.81,15.5405
4,87,317.09,3.6447
5,22,128.01,5.8186
6,15,400.38,26.6920
7,14,277.79,19.8421
8,32,366.23,11.4447
9,93,414.90,4.4613
10,16,319.05,19.9406
11,52,239.12,4.5985
12,57,159.65,2.8009
13,62,326.09,5.2595
14,32,262.66,8.2081
15,86,114.53,1.3317
16,10,155.35,15.5350
17,81,187.21,2.3112
18,98,123.07,1.2558
19,23,418.24,18.1843
309,44,361.70,8.2205
598,71,204.20,2.8761
887,14,214.81,15.3436
1176,37,168.83,4.5630
1465,17,198.00,11.6471
1754,88,318.46,3.6189
2043,61,120.15,1.9697
2332,77,362.00,4.7013
2621,84,238.45,2.8387
2910,70,255.01,3.6430
3199,69,229.97,3.3329
3488,25,169.99,6.7996
3777,1,368.00,368.0000
4066,64,157.53,2.4614
4355,42,407.88,9.7114
4644,46,327.78,7.1257
4933,68,370.36,5.4465
5222,48,251.80,5.2458
5511,97,365.67,3.7698
5800,82,378.21,4.6123
6089,71,369.56,5.2051
6378,47,232.62,4.9494
6667,25,371.18,14.8472
6956,82,127.38,1.5534
7245,94,165.74,1.7632
7534,67,166.17,2.4801
7823,53,194.86,3.6766
8112,77,321.74,4.1784
8401,86,413.89,4.8127
8690,33,286.53,8.6827
8980,71,222.86,3.1389
8981,1,309.89,309.8900
8982,62,349.55,5.6379
8983,43,379.36,8.8223
8984,7,269.79,38.5414
8985,22,303.22,13.7827
8986,91,406.65,4.4687
8987,26,396.42,15.2469
8988,74,339.91,4.5934
8989,82,352.46,4.2983
8990,39,410.25,10.5192
8991,7,328.22,46.8886
8992,11,423.57,38.5064
8993,84,178.59,2.1261
8994,38,381.01,10.0266
8995,9,209.76,23.3067
8996,58,131.77,2.2719
8997,31,102.80,3.3161
8998,19,252.78,13.3042
8999,14,359.44,25.6743
