idx,weight,value,ratio
0,7,270.90,38.7000
1,79,177.88,2.2516
2,23,236.69,10.2909
3,54,203.50,3.7685
4,40,112.41,2.8102
5,91,420.57,4.6216
6,67,121.60,1.8149
7,70,187.79,2.6827
8,88,105.43,1.1981
9,9,424.94,47.2156
10,16,320.54,20.0337
11,26,389.27,14.9719
12,9,360.99,40.1100
13,76,179.24,2.3584
14,80,146.76,1.8345
15,92,210.38,2.2867
16,60,203.81,3.3968
17,15,213.06,14.2040
18,97,262.81,2.7094
19,70,138.22,1.9746
341,20,180.30,9.0150
662,13,380.16,29.2431
983,13,171.44,13.1877
1304,51,310.85,6.0951
1625,8,318.95,39.8687
1946,74,339.48,4.5876
2267,56,327.79,5.8534
2588,77,314.67,4.0866
2909,82,114.01,1.3904
3230,62,214.81,3.4647
3551,8,230.43,28.8038
3872,69,312.90,4.5348
4193,69,175.78,2.5475
4514,20,315.49,15.7745
4835,27,250.09,9.2626
5156,84,271.16,3.2281
5477,66,331.08,5.0164
5798,30,309.80,10.3267
6119,48,251.12,5.2317
6440,23,369.66,16.0722
6761,90,392.52,4.3613
7082,44,250.20,5.6864
7403,11,299.37,27.2155
7724,92,164.80,1.7913
8045,78,149.58,1.9177
8366,8,165.06,20.6325
8687,84,264.08,3.1438
9008,14,249.36,17.8114
9329,70,219.76,3.1394
9650,77,182.75,2.3734
9980,70,395.68,5.6526
9981,54,159.13,2.9469
9982,3,395.26,131.7533
9983,41,394.11,9.6124
9984,35,237.53,6.7866
9985,77,335.01,4.3508
9986,37,197.23,5.3305
9987,85,200.80,2.3624
9988,42,311.31,7.4121
9989,41,287.31,7.0076
9990,51,289.72,5.6808
9991,61,246.02,4.0331
9992,40,315.07,7.8767
9993,71,137.52,1.9369
9994,6,120.17,20.0283
9995,69,402.75,5.8370
9996,87,121.79,1.3999
9997,34,352.63,10.3715
9998,40,361.18,9.0295
9999,19,183.50,9.6579
