idx,weight,value,ratio
0,14,366.97,26.2121
1,96,277.67,2.8924
2,25,195.50,7.8200
3,76,313.40,4.1237
4,82,312.35,3.8091
5,38,201.53,5.3034
6,87,181.86,2.0903
7,92,260.45,2.8310
8,41,100.77,2.4578
9,15,359.48,23.9653
10,56,220.77,3.9423
11,7,377.84,53.9771
12,52,173.07,3.3283
13,78,185.44,2.3774
14,26,288.70,11.1038
15,71,220.86,3.1107
16,5,328.39,65.6780
17,5,301.01,60.2020
18,66,320.09,4.8498
19,25,359.06,14.3624
115,66,167.42,2.5367
210,86,166.39,1.9348
305,82,281.54,3.4334
400,33,164.89,4.9967
495,33,216.16,6.5503
590,82,248.28,3.0278
685,31,233.47,7.5313
780,1,298.53,298.5300
875,92,248.25,2.6984
970,50,425.47,8.5094
1065,97,296.95,3.0613
1160,73,291.85,3.9979
1255,75,272.71,3.6361
1350,79,341.16,4.3185
1445,84,144.80,1.7238
1540,89,330.39,3.7122
1635,77,406.62,5.2808
1730,16,236.53,14.7831
1825,52,366.20,7.0423
1920,50,249.83,4.9966
2015,54,249.19,4.6146
2110,96,335.03,3.4899
2205,23,140.93,6.1274
2300,49,333.40,6.8041
2395,80,426.70,5.3338
2490,73,103.82,1.4222
2585,61,361.29,5.9228
2680,28,348.04,12.4300
2775,41,410.09,10.0022
2870,77,341.47,4.4347
2980,34,363.23,10.6832
2981,69,242.30,3.5116
2982,16,276.52,17.2825
2983,91,177.21,1.9474
2984,6,314.83,52.4717
2985,67,346.34,5.1693
2986,68,217.39,3.1969
2987,20,275.67,13.7835
2988,48,122.68,2.5558
2989,56,222.35,3.9705
2990,41,324.31,7.9100
2991,66,370.29,5.6105
2992,36,338.89,9.4136
2993,34,387.31,11.3915
2994,97,245.29,2.5288
2995,88,419.10,4.7625
2996,78,209.48,2.6856
2997,69,171.51,2.4857
2998,30,171.29,5.7097
2999,57,105.47,1.8504
