idx,weight,value,ratio
0,34,253.46,7.4547
1,99,111.24,1.1236
2,57,131.83,2.3128
3,79,201.92,2.5559
4,65,232.31,3.5740
5,47,340.83,7.2517
6,79,125.54,1.5891
7,69,256.84,3.7223
8,39,219.79,5.6356
9,79,423.47,5.3604
10,92,216.38,2.3520
11,2,363.56,181.7800
12,75,317.73,4.2364
13,25,100.80,4.0320
14,21,283.09,13.4805
15,25,262.85,10.5140
16,66,110.45,1.6735
17,88,108.87,1.2372
18,52,388.95,7.4798
19,7,127.34,18.1914
147,96,185.05,1.9276
274,96,380.23,3.9607
401,89,378.41,4.2518
528,8,200.64,25.0800
655,73,332.75,4.5582
782,88,130.76,1.4859
909,60,358.55,5.9758
1036,45,385.51,8.5669
1163,65,250.93,3.8605
1290,69,182.46,2.6443
1417,63,321.99,5.1110
1544,56,282.29,5.0409
1671,56,285.83,5.1041
1798,13,120.56,9.2738
1925,88,164.17,1.8656
2052,21,334.06,15.9076
2179,22,334.91,15.2232
2306,7,349.64,49.9486
2433,47,303.96,6.4672
2560,12,200.09,16.6742
2687,54,204.03,3.7783
2814,28,167.33,5.9761
2941,34,340.90,10.0265
3068,58,208.63,3.5971
3195,90,169.31,1.8812
3322,100,302.47,3.0247
3449,87,211.04,2.4257
3576,66,393.13,5.9565
3703,4,105.45,26.3625
3830,20,415.32,20.7660
3980,9,308.14,34.2378
3981,98,109.45,1.1168
3982,32,396.33,12.3853
3983,70,126.37,1.8053
3984,20,114.42,5.7210
3985,33,257.51,7.8033
3986,29,285.01,9.8279
3987,29,143.16,4.9366
3988,85,222.32,2.6155
3989,50,189.65,3.7930
3990,97,200.43,2.0663
3991,38,272.04,7.1589
3992,36,345.80,9.6056
3993,74,334.50,4.5203
3994,6,224.18,37.3633
3995,33,359.00,10.8788
3996,28,279.05,9.9661
3997,86,285.99,3.3255
3998,70,216.62,3.0946
3999,27,306.89,11.3663
