idx,weight,value,ratio
0,78,115.16,1.4764
1,63,185.83,2.9497
2,60,281.63,4.6938
3,65,312.79,4.8122
4,2,226.53,113.2650
5,62,200.99,3.2418
6,81,263.24,3.2499
7,95,314.67,3.3123
8,29,403.82,13.9248
9,86,295.58,3.4370
10,91,103.40,1.1363
11,30,348.63,11.6210
12,33,327.08,9.9115
13,35,265.26,7.5789
14,12,412.99,34.4158
15,60,108.97,1.8162
16,4,391.43,97.8575
17,9,197.40,21.9333
18,61,250.45,4.1057
19,99,145.58,1.4705
309,9,369.55,41.0611
598,75,216.85,2.8913
887,55,286.52,5.2095
1176,51,410.22,8.0435
1465,22,396.92,18.0418
1754,12,209.02,17.4183
2043,42,201.31,4.7931
2332,61,412.69,6.7654
2621,53,325.31,6.1379
2910,74,212.29,2.8688
3199,2,421.19,210.5950
3488,28,309.59,11.0568
3777,36,175.17,4.8658
4066,44,402.19,9.1407
4355,77,236.17,3.0671
4644,41,383.90,9.3634
4933,18,372.61,20.7006
5222,70,355.37,5.0767
5511,98,192.45,1.9638
5800,91,274.31,3.0144
6089,91,388.72,4.2716
6378,84,238.79,2.8427
6667,36,342.67,9.5186
6956,67,266.76,3.9815
7245,76,205.20,2.7000
7534,29,237.53,8.1907
7823,9,339.36,37.7067
8112,65,169.29,2.6045
8401,56,346.36,6.1850
8690,73,187.41,2.5673
8980,56,126.23,2.2541
8981,90,147.67,1.6408
8982,73,403.40,5.5260
8983,51,295.78,5.7996
8984,34,363.76,10.6988
8985,37,142.20,3.8432
8986,26,116.45,4.4788
8987,32,248.41,7.7628
8988,21,272.26,12.9648
8989,23,207.26,9.0113
8990,68,388.81,5.7178
8991,19,132.24,6.9600
8992,42,332.15,7.9083
8993,14,214.70,15.3357
8994,57,305.32,5.3565
8995,91,407.06,4.4732
8996,17,373.16,21.9506
8997,86,160.44,1.8656
8998,83,149.09,1.7963
8999,100,274.96,2.7496
