idx,weight,value,ratio
0,43,195.03,4.5356
1,11,269.73,24.5209
2,88,150.56,1.7109
3,97,204.10,2.1041
4,53,198.24,3.7404
5,67,421.11,6.2852
6,41,367.90,8.9732
7,68,133.57,1.9643
8,99,130.06,1.3137
9,38,161.16,4.2411
10,82,110.23,1.3443
11,4,418.49,104.6225
12,29,206.99,7.1376
13,52,427.10,8.2135
14,95,350.15,3.6858
15,35,322.26,9.2074
16,60,140.76,2.3460
17,43,316.68,7.3647
18,1,332.46,332.4600
19,28,351.70,12.5607
147,9,343.16,38.1289
274,28,409.42,14.6221
401,93,119.64,1.2865
528,63,365.69,5.8046
655,28,335.36,11.9771
782,53,420.48,7.9336
909,66,203.09,3.0771
1036,77,290.15,3.7682
1163,79,278.34,3.5233
1290,91,156.26,1.7171
1417,90,212.32,2.3591
1544,88,111.00,1.2614
1671,73,132.97,1.8215
1798,33,296.95,8.9985
1925,40,319.19,7.9798
2052,70,420.35,6.0050
2179,47,222.88,4.7421
2306,56,102.10,1.8232
2433,49,351.12,7.1657
2560,78,383.94,4.9223
2687,6,198.96,33.1600
2814,16,317.56,19.8475
2941,26,332.53,12.7896
3068,96,422.77,4.4039
3195,23,174.68,7.5948
3322,66,388.92,5.8927
3449,73,248.04,3.3978
3576,38,184.27,4.8492
3703,72,100.20,1.3917
3830,69,139.52,2.0220
3980,26,140.52,5.4046
3981,46,348.76,7.5817
3982,76,228.39,3.0051
3983,57,379.89,6.6647
3984,17,391.45,23.0265
3985,40,325.45,8.1363
3986,53,336.79,6.3545
3987,87,210.50,2.4195
3988,59,322.16,5.4603
3989,66,351.99,5.3332
3990,97,247.57,2.5523
3991,42,146.05,3.4774
3992,19,291.17,15.3247
3993,46,268.29,5.8324
3994,83,150.55,1.8139
3995,8,187.50,23.4375
3996,93,340.41,3.6603
3997,96,423.57,4.4122
3998,3,313.84,104.6133
3999,4,139.22,34.8050
