idx,weight,value,ratio
0,67,234.80,3.5045
1,46,321.51,6.9893
2,98,339.66,3.4659
3,18,417.36,23.1867
4,4,372.67,93.1675
5,2,397.53,198.7650
6,63,416.71,6.6144
7,48,321.01,6.6877
8,22,389.93,17.7241
9,39,161.83,4.1495
10,29,229.12,7.9007
11,94,230.84,2.4557
12,90,163.37,1.8152
13,74,115.95,1.5669
14,98,105.16,1.0731
15,57,164.98,2.8944
16,67,298.99,4.4625
17,60,196.82,3.2803
18,91,288.83,3.1740
19,73,120.29,1.6478
2599,73,237.37,3.2516
5178,96,215.99,2.2499
7757,54,367.68,6.8089
10336,57,315.09,5.5279
12915,26,137.74,5.2977
15494,100,139.87,1.3987
18073,24,427.66,17.8192
20652,73,128.58,1.7614
23231,100,118.55,1.1855
25810,42,274.29,6.5307
28389,9,258.29,28.6989
30968,99,271.94,2.7469
33547,58,176.97,3.0512
36126,17,293.16,17.2447
38705,21,164.04,7.8114
41284,53,371.65,7.0123
43863,77,252.48,3.2790
46442,22,150.25,6.8295
49021,99,219.51,2.2173
51600,73,248.96,3.4104
54179,3,179.42,59.8067
56758,8,124.03,15.5038
59337,96,324.44,3.3796
61916,33,230.91,6.9973
64495,68,172.23,2.5328
67074,31,411.89,13.2868
69653,65,135.92,2.0911
72232,26,355.45,13.6712
74811,6,204.56,34.0933
77390,52,273.80,5.2654
79980,23,378.46,16.4548
79981,56,256.97,4.5888
79982,61,417.90,6.8508
79983,6,392.26,65.3767
79984,54,152.49,2.8239
79985,37,244.56,6.6097
79986,96,357.84,3.7275
79987,65,239.78,3.6889
79988,5,270.97,54.1940
79989,80,314.64,3.9330
79990,40,260.74,6.5185
79991,5,111.85,22.3700
79992,31,390.18,12.5865
79993,58,212.86,3.6700
79994,50,123.65,2.4730
79995,70,240.29,3.4327
79996,85,336.22,3.9555
79997,80,311.98,3.8998
79998,18,426.34,23.6856
79999,91,368.50,4.0495
