idx,weight,value,ratio
0,49,287.10,5.8592
1,48,193.77,4.0369
2,97,326.57,3.3667
3,43,422.09,9.8160
4,31,340.65,10.9887
5,34,309.09,9.0909
6,26,404.88,15.5723
7,20,113.88,5.6940
8,71,374.53,5.2751
9,63,166.23,2.6386
10,33,213.94,6.4830
11,33,307.98,9.3327
12,57,293.16,5.1432
13,61,351.27,5.7585
14,43,351.54,8.1753
15,27,335.24,12.4163
16,48,251.38,5.2371
17,4,181.73,45.4325
18,58,238.09,4.1050
19,96,152.93,1.5930
276,48,388.68,8.0975
532,27,179.99,6.6663
788,34,254.98,7.4994
1044,69,285.97,4.1445
1300,64,272.96,4.2650
1556,55,215.95,3.9264
1812,6,114.94,19.1567
2068,17,297.61,17.5065
2324,24,108.59,4.5246
2580,91,203.26,2.2336
2836,86,253.93,2.9527
3092,9,260.60,28.9556
3348,60,223.27,3.7212
3604,39,141.94,3.6395
3860,78,344.29,4.4140
4116,45,174.96,3.8880
4372,40,289.30,7.2325
4628,95,359.65,3.7858
4884,46,386.00,8.3913
5140,57,368.35,6.4623
5396,96,306.70,3.1948
5652,63,201.05,3.1913
5908,58,379.08,6.5359
6164,13,185.43,14.2638
6420,97,275.46,2.8398
6676,8,321.48,40.1850
6932,47,323.51,6.8832
7188,46,281.54,6.1204
7444,41,195.57,4.7700
7700,96,393.28,4.0967
7980,25,124.19,4.9676
7981,45,108.41,2.4091
7982,92,204.73,2.2253
7983,54,366.30,6.7833
7984,47,291.84,6.2094
7985,39,400.98,10.2815
7986,43,293.22,6.8191
7987,1,138.52,138.5200
7988,82,128.87,1.5716
7989,73,194.19,2.6601
7990,85,315.10,3.7071
7991,30,329.47,10.9823
7992,39,283.65,7.2731
7993,61,134.27,2.2011
7994,13,344.26,26.4815
7995,81,388.34,4.7943
7996,77,255.95,3.3240
7997,34,114.68,3.3729
7998,19,315.31,16.5953
7999,63,230.79,3.6633
