idx,weight,value,ratio
0,72,350.77,4.8718
1,26,261.79,10.0688
2,51,105.62,2.0710
3,86,422.49,4.9127
4,92,411.80,4.4761
5,95,313.01,3.2948
6,28,226.26,8.0807
7,43,334.37,7.7760
8,58,159.35,2.7474
9,60,290.52,4.8420
10,39,327.37,8.3941
11,100,131.45,1.3145
12,5,240.91,48.1820
13,94,341.09,3.6286
14,31,411.60,13.2774
15,67,423.67,6.3234
16,48,280.82,5.8504
17,49,332.34,6.7824
18,37,344.82,9.3195
19,31,344.35,11.1081
180,46,116.89,2.5411
340,3,212.92,70.9733
500,22,288.95,13.1341
660,32,378.92,11.8413
820,3,352.91,117.6367
980,29,244.82,8.4421
1140,85,252.43,2.9698
1300,63,409.65,6.5024
1460,36,258.89,7.1914
1620,99,161.73,1.6336
1780,56,315.95,5.6420
1940,35,100.10,2.8600
2100,77,367.30,4.7701
2260,72,168.44,2.3394
2420,98,356.63,3.6391
2580,11,310.43,28.2209
2740,85,227.60,2.6776
2900,82,142.07,1.7326
3060,73,251.59,3.4464
3220,18,262.40,14.5778
3380,26,372.26,14.3177
3540,88,287.42,3.2661
3700,12,205.63,17.1358
3860,22,160.81,7.3095
4020,95,350.72,3.6918
4180,54,153.93,2.8506
4340,75,423.54,5.6472
4500,82,210.45,2.5665
4660,51,367.78,7.2114
4820,75,274.07,3.6543
4980,25,127.10,5.0840
4981,64,344.60,5.3844
4982,10,241.97,24.1970
4983,57,167.73,2.9426
4984,5,126.53,25.3060
4985,78,233.50,2.9936
4986,23,300.50,13.0652
4987,53,149.57,2.8221
4988,74,101.57,1.3726
4989,73,113.50,1.5548
4990,7,372.46,53.2086
4991,36,274.73,7.6314
4992,86,421.98,4.9067
4993,99,335.26,3.3865
4994,38,411.24,10.8221
4995,55,136.54,2.4825
4996,51,164.31,3.2218
4997,36,177.96,4.9433
4998,42,311.55,7.4179
4999,70,192.85,2.7550
