idx,weight,value,ratio
0,8,204.86,25.6075
1,23,391.27,17.0117
2,34,189.87,5.5844
3,9,201.51,22.3900
4,58,202.97,3.4995
5,51,347.59,6.8155
6,69,258.74,3.7499
7,89,150.91,1.6956
8,91,395.52,4.3464
9,16,216.57,13.5356
10,73,208.52,2.8564
11,17,279.76,16.4565
12,33,193.57,5.8658
13,35,240.08,6.8594
14,1,324.11,324.1100
15,19,215.94,11.3653
16,97,295.40,3.0454
17,18,202.88,11.2711
18,34,135.43,3.9832
19,26,410.88,15.8031
341,9,399.04,44.3378
662,7,388.23,55.4614
983,46,238.20,5.1783
1304,75,363.46,4.8461
1625,100,247.26,2.4726
1946,74,210.85,2.8493
2267,40,200.79,5.0198
2588,33,129.11,3.9124
2909,28,349.75,12.4911
3230,21,376.66,17.9362
3551,91,131.94,1.4499
3872,54,417.56,7.7326
4193,62,418.42,6.7487
4514,6,400.29,66.7150
4835,38,213.08,5.6074
5156,86,228.18,2.6533
5477,35,185.51,5.3003
5798,19,163.93,8.6279
6119,16,349.71,21.8569
6440,35,193.18,5.5194
6761,8,336.79,42.0987
7082,29,123.41,4.2555
7403,3,387.66,129.2200
7724,47,264.65,5.6309
8045,29,372.58,12.8476
8366,58,408.37,7.0409
8687,61,206.57,3.3864
9008,99,227.85,2.3015
9329,26,278.23,10.7012
9650,39,127.19,3.2613
9980,46,322.95,7.0207
9981,47,359.29,7.6445
9982,47,325.18,6.9187
9983,1,388.48,388.4800
9984,27,181.01,6.7041
9985,37,203.90,5.5108
9986,99,388.24,3.9216
9987,80,270.80,3.3850
9988,91,128.18,1.4086
9989,72,270.15,3.7521
9990,80,335.41,4.1926
9991,99,266.73,2.6942
9992,25,201.87,8.0748
9993,61,129.30,2.1197
9994,98,232.54,2.3729
9995,95,244.27,2.5713
9996,94,230.43,2.4514
9997,76,174.25,2.2928
9998,63,413.16,6.5581
9999,72,269.05,3.7368
