idx,weight,value,ratio
0,89,256.89,2.8864
1,99,381.55,3.8540
2,86,367.70,4.2756
3,8,400.96,50.1200
4,74,181.92,2.4584
5,45,340.32,7.5627
6,40,174.19,4.3548
7,62,343.82,5.5455
8,94,210.26,2.2368
9,51,405.40,7.9490
10,33,242.38,7.3448
11,57,155.68,2.7312
12,54,111.86,2.0715
13,62,116.39,1.8773
14,67,107.58,1.6057
15,13,254.66,19.5892
16,22,160.53,7.2968
17,72,352.96,4.9022
18,24,306.27,12.7612
19,82,320.84,3.9127
10341,70,359.42,5.1346
20662,92,273.82,2.9763
30983,91,375.58,4.1273
41304,68,409.40,6.0206
51625,55,241.75,4.3955
61946,44,305.77,6.9493
72267,23,378.48,16.4557
82588,97,127.98,1.3194
92909,61,310.11,5.0838
103230,21,229.89,10.9471
113551,4,394.03,98.5075
123872,42,216.29,5.1498
134193,100,184.30,1.8430
144514,40,235.42,5.8855
154835,2,238.96,119.4800
165156,50,252.30,5.0460
175477,66,254.56,3.8570
185798,100,426.05,4.2605
196119,77,337.19,4.3791
206440,87,307.66,3.5363
216761,21,259.49,12.3567
227082,18,309.20,17.1778
237403,11,236.38,21.4891
247724,62,211.64,3.4135
258045,61,362.53,5.9431
268366,66,128.46,1.9464
278687,89,278.33,3.1273
289008,45,330.65,7.3478
299329,92,139.49,1.5162
309650,13,107.19,8.2454
319980,18,392.26,21.7922
319981,95,205.73,2.1656
319982,35,262.30,7.4943
319983,89,349.24,3.9240
319984,2,103.51,51.7550
319985,90,144.13,1.6014
319986,53,142.29,2.6847
319987,76,152.57,2.0075
319988,44,350.30,7.9614
319989,98,205.56,2.0976
319990,11,309.14,28.1036
319991,24,233.14,9.7142
319992,47,209.73,4.4623
319993,74,165.77,2.2401
319994,46,375.25,8.1576
319995,27,310.14,11.4867
319996,19,137.01,7.2111
319997,36,161.32,4.4811
319998,22,333.37,15.1532
319999,90,331.14,3.6793
