idx,weight,value,ratio
0,29,123.87,4.2714
1,5,311.85,62.3700
2,96,395.84,4.1233
3,93,419.28,4.5084
4,71,372.51,5.2466
5,37,249.63,6.7468
6,40,153.06,3.8265
7,78,192.82,2.4721
8,77,360.73,4.6848
9,43,199.41,4.6374
10,88,413.87,4.7031
11,85,358.55,4.2182
12,29,205.07,7.0714
13,41,362.97,8.8529
14,23,283.25,12.3152
15,74,246.98,3.3376
16,84,385.21,4.5858
17,3,359.58,119.8600
18,26,259.04,9.9631
19,26,337.32,12.9738
663,99,211.79,2.1393
1306,55,279.58,5.0833
1949,50,236.40,4.7280
2592,22,226.22,10.2827
3235,100,161.27,1.6127
3878,29,192.15,6.6259
4521,69,243.82,3.5336
5164,70,412.80,5.8971
5807,10,229.76,22.9760
6450,28,253.18,9.0421
7093,61,128.93,2.1136
7736,42,361.26,8.6014
8379,36,333.80,9.2722
9022,68,144.91,2.1310
9665,45,128.39,2.8531
10308,20,187.70,9.3850
10951,77,352.72,4.5808
11594,55,377.32,6.8604
12237,84,423.06,5.0364
12880,65,412.91,6.3525
13523,28,388.42,13.8721
14166,27,346.32,12.8267
14809,8,189.50,23.6875
15452,77,286.84,3.7252
16095,32,247.02,7.7194
16738,95,201.32,2.1192
17381,50,133.14,2.6628
18024,75,250.02,3.3336
18667,87,108.27,1.2445
19310,11,296.09,26.9173
19980,27,211.25,7.8241
19981,99,135.38,1.3675
19982,69,273.64,3.9658
19983,54,158.86,2.9419
19984,86,233.04,2.7098
19985,69,171.20,2.4812
19986,67,346.36,5.1696
19987,41,128.33,3.1300
19988,53,310.63,5.8609
19989,87,113.44,1.3039
19990,42,277.12,6.5981
19991,8,370.95,46.3687
19992,96,255.90,2.6656
19993,2,288.96,144.4800
19994,25,214.72,8.5888
19995,35,354.48,10.1280
19996,38,391.04,10.2905
19997,3,128.51,42.8367
19998,20,189.09,9.4545
19999,87,197.44,2.2694
