idx,weight,value,ratio
0,38,393.11,10.3450
1,17,142.66,8.3918
2,27,414.57,15.3544
3,79,421.46,5.3349
4,27,338.44,12.5348
5,57,329.92,5.7881
6,2,395.42,197.7100
7,45,397.23,8.8273
8,38,271.00,7.1316
9,70,264.78,3.7826
10,78,307.72,3.9451
11,86,413.48,4.8079
12,82,422.01,5.1465
13,36,361.59,10.0442
14,64,350.31,5.4736
15,52,306.40,5.8923
16,78,415.52,5.3272
17,57,239.70,4.2053
18,75,202.55,2.7007
19,47,234.00,4.9787
663,98,341.46,3.4843
1306,85,277.62,3.2661
1949,96,194.42,2.0252
2592,31,317.38,10.2381
3235,30,274.77,9.1590
3878,31,185.95,5.9984
4521,11,357.88,32.5345
5164,27,192.32,7.1230
5807,95,201.00,2.1158
6450,92,308.32,3.3513
7093,12,122.02,10.1683
7736,85,179.31,2.1095
8379,1,142.54,142.5400
9022,28,233.77,8.3489
9665,68,347.75,5.1140
10308,91,399.83,4.3937
10951,18,363.59,20.1994
11594,58,309.94,5.3438
12237,44,275.99,6.2725
12880,83,123.04,1.4824
13523,33,237.33,7.1918
14166,79,274.76,3.4780
14809,89,101.80,1.1438
15452,83,268.26,3.2320
16095,76,267.09,3.5143
16738,46,386.67,8.4059
17381,88,148.76,1.6905
18024,33,213.86,6.4806
18667,100,380.05,3.8005
19310,87,138.24,1.5890
19980,51,216.10,4.2373
19981,70,416.55,5.9507
19982,73,323.65,4.4336
19983,16,290.10,18.1313
19984,75,315.91,4.2121
19985,10,421.88,42.1880
19986,15,409.46,27.2973
19987,22,343.56,15.6164
19988,99,190.14,1.9206
19989,10,386.91,38.6910
19990,39,182.70,4.6846
19991,54,163.82,3.0337
19992,20,377.18,18.8590
19993,72,131.73,1.8296
19994,2,310.00,155.0000
19995,36,110.87,3.0797
19996,55,218.15,3.9664
19997,11,251.94,22.9036
19998,81,327.95,4.0488
19999,98,286.69,2.9254
