idx,weight,value,ratio
0,28,189.90,6.7821
1,28,426.15,15.2196
2,52,114.98,2.2112
3,37,421.27,11.3857
4,53,281.96,5.3200
5,9,322.62,35.8467
6,6,343.60,57.2667
7,60,229.70,3.8283
8,75,398.31,5.3108
9,4,407.78,101.9450
10,63,198.22,3.1463
11,94,140.38,1.4934
12,5,372.50,74.5000
13,82,302.14,3.6846
14,3,105.90,35.3000
15,16,241.42,15.0887
16,47,293.61,6.2470
17,31,369.76,11.9277
18,89,386.42,4.3418
19,2,392.34,196.1700
663,2,359.46,179.7300
1306,79,158.64,2.0081
1949,25,198.24,7.9296
2592,30,189.93,6.3310
3235,58,413.40,7.1276
3878,50,246.09,4.9218
4521,16,258.14,16.1337
5164,62,420.89,6.7885
5807,99,144.04,1.4549
6450,56,422.46,7.5439
7093,62,271.59,4.3805
7736,69,195.85,2.8384
8379,44,159.93,3.6348
9022,34,374.63,11.0185
9665,33,417.17,12.6415
10308,57,380.54,6.6761
10951,47,392.39,8.3487
11594,76,345.85,4.5507
12237,60,259.57,4.3262
12880,33,417.49,12.6512
13523,71,191.49,2.6970
14166,86,340.84,3.9633
14809,100,258.72,2.5872
15452,13,418.89,32.2223
16095,48,265.26,5.5263
16738,11,191.09,17.3718
17381,28,206.91,7.3896
18024,1,187.36,187.3600
18667,99,236.18,2.3857
19310,55,152.59,2.7744
19980,89,215.66,2.4231
19981,42,122.89,2.9260
19982,94,408.47,4.3454
19983,10,218.59,21.8590
19984,6,278.58,46.4300
19985,55,309.72,5.6313
19986,44,195.20,4.4364
19987,8,175.05,21.8813
19988,59,350.04,5.9329
19989,64,213.11,3.3298
19990,51,250.86,4.9188
19991,2,242.22,121.1100
19992,11,127.84,11.6218
19993,94,116.23,1.2365
19994,1,331.12,331.1200
19995,82,281.96,3.4385
19996,18,204.08,11.3378
19997,5,240.72,48.1440
19998,58,374.90,6.4638
19999,12,248.79,20.7325
