idx,weight,value,ratio
0,16,146.43,9.1519
1,67,222.08,3.3146
2,65,208.60,3.2092
3,27,203.69,7.5441
4,15,168.89,11.2593
5,39,100.19,2.5690
6,31,173.42,5.5942
7,56,355.32,6.3450
8,51,305.79,5.9959
9,74,281.94,3.8100
10,63,102.37,1.6249
11,18,334.69,18.5939
12,87,410.51,4.7185
13,63,238.70,3.7889
14,42,391.17,9.3136
15,29,275.35,9.4948
16,92,325.72,3.5404
17,41,410.69,10.0168
18,83,406.62,4.8990
19,47,307.56,6.5438
341,79,322.26,4.0792
662,26,346.58,13.3300
983,34,426.91,12.5562
1304,52,240.05,4.6163
1625,86,326.12,3.7921
1946,6,155.74,25.9567
2267,43,340.49,7.9184
2588,8,398.76,49.8450
2909,100,352.58,3.5258
3230,31,395.23,12.7494
3551,29,240.28,8.2855
3872,68,236.90,3.4838
4193,35,118.75,3.3929
4514,65,175.94,2.7068
4835,57,155.49,2.7279
5156,18,209.92,11.6622
5477,23,214.56,9.3287
5798,48,422.69,8.8060
6119,85,405.10,4.7659
6440,86,289.00,3.3605
6761,65,168.72,2.5957
7082,16,230.12,14.3825
7403,41,257.77,6.2871
7724,72,351.42,4.8808
8045,53,323.89,6.1111
8366,7,304.57,43.5100
8687,84,400.90,4.7726
9008,12,120.44,10.0367
9329,84,312.21,3.7168
9650,83,384.92,4.6376
9980,4,370.19,92.5475
9981,54,368.49,6.8239
9982,5,238.43,47.6860
9983,79,427.44,5.4106
9984,89,177.65,1.9961
9985,18,151.51,8.4172
9986,24,341.96,14.2483
9987,99,128.26,1.2956
9988,1,133.02,133.0200
9989,61,321.79,5.2752
9990,47,186.84,3.9753
9991,87,342.25,3.9339
9992,4,293.63,73.4075
9993,73,138.34,1.8951
9994,81,141.71,1.7495
9995,69,221.99,3.2172
9996,13,110.92,8.5323
9997,9,370.47,41.1633
9998,74,159.38,2.1538
9999,84,174.94,2.0826
