idx,weight,value,ratio
0,59,162.63,2.7564
1,4,237.97,59.4925
2,39,298.48,7.6533
3,17,422.28,24.8400
4,73,397.13,5.4401
5,81,316.39,3.9060
6,22,129.02,5.8645
7,37,281.40,7.6054
8,34,247.22,7.2712
9,29,350.90,12.1000
10,80,323.44,4.0430
11,57,253.39,4.4454
12,34,342.67,10.0785
13,15,410.72,27.3813
14,37,268.27,7.2505
15,64,400.22,6.2534
16,48,373.29,7.7769
17,98,379.35,3.8709
18,12,381.90,31.8250
19,41,322.28,7.8605
276,98,275.15,2.8077
532,69,197.51,2.8625
788,39,311.40,7.9846
1044,42,289.12,6.8838
1300,44,130.68,2.9700
1556,47,163.77,3.4845
1812,50,388.37,7.7674
2068,84,149.14,1.7755
2324,19,101.42,5.3379
2580,53,245.22,4.6268
2836,20,252.87,12.6435
3092,86,124.35,1.4459
3348,53,187.36,3.5351
3604,51,114.20,2.2392
3860,50,232.56,4.6512
4116,48,214.77,4.4744
4372,47,388.49,8.2657
4628,77,426.05,5.5331
4884,8,327.46,40.9325
5140,39,420.38,10.7790
5396,1,377.15,377.1500
5652,64,197.75,3.0898
5908,26,209.87,8.0719
6164,21,413.52,19.6914
6420,15,153.32,10.2213
6676,10,412.33,41.2330
6932,36,207.49,5.7636
7188,63,194.17,3.0821
7444,89,372.38,4.1840
7700,16,414.42,25.9013
7980,93,238.67,2.5663
7981,73,116.40,1.5945
7982,59,158.81,2.6917
7983,15,356.61,23.7740
7984,59,303.66,5.1468
7985,41,405.21,9.8832
7986,52,302.85,5.8240
7987,81,122.93,1.5177
7988,3,123.29,41.0967
7989,39,362.93,9.3059
7990,89,107.88,1.2121
7991,63,124.70,1.9794
7992,42,346.80,8.2571
7993,27,152.20,5.6370
7994,16,374.46,23.4037
7995,89,288.79,3.2448
7996,12,349.41,29.1175
7997,41,347.67,8.4798
7998,15,122.86,8.1907
7999,66,330.14,5.0021
