idx,weight,value,ratio
0,4,163.76,40.9400
1,7,233.48,33.3543
2,82,223.58,2.7266
3,34,313.20,9.2118
4,8,255.87,31.9838
5,91,194.23,2.1344
6,91,130.03,1.4289
7,7,420.60,60.0857
8,77,228.09,2.9622
9,49,174.81,3.5676
10,10,111.26,11.1260
11,15,104.75,6.9833
12,75,123.56,1.6475
13,92,125.98,1.3693
14,32,371.97,11.6241
15,66,155.88,2.3618
16,5,206.48,41.2960
17,79,103.38,1.3086
18,80,176.29,2.2036
19,80,189.72,2.3715
115,86,145.02,1.6863
210,46,167.75,3.6467
305,37,280.09,7.5700
400,46,289.67,6.2972
495,62,291.02,4.6939
590,75,220.45,2.9393
685,22,412.12,18.7327
780,13,318.25,24.4808
875,86,296.21,3.4443
970,51,155.48,3.0486
1065,22,146.72,6.6691
1160,12,247.73,20.6442
1255,13,173.69,13.3608
1350,99,155.80,1.5737
1445,72,247.48,3.4372
1540,66,159.58,2.4179
1635,83,149.60,1.8024
1730,83,103.78,1.2504
1825,91,328.48,3.6097
1920,12,320.43,26.7025
2015,66,282.87,4.2859
2110,81,194.30,2.3988
2205,4,378.69,94.6725
2300,79,259.18,3.2808
2395,87,289.97,3.3330
2490,27,114.30,4.2333
2585,81,197.53,2.4386
2680,14,342.71,24.4793
2775,95,229.60,2.4168
2870,67,393.15,5.8679
2980,71,146.75,2.0669
2981,63,419.38,6.6568
2982,57,118.91,2.0861
2983,81,210.90,2.6037
2984,44,180.81,4.1093
2985,17,130.30,7.6647
2986,32,395.16,12.3488
2987,29,177.82,6.1317
2988,55,274.34,4.9880
2989,80,402.83,5.0354
2990,28,228.39,8.1568
2991,68,255.53,3.7578
2992,14,400.00,28.5714
2993,33,307.31,9.3124
2994,70,173.27,2.4753
2995,32,206.00,6.4375
2996,43,169.04,3.9312
2997,15,330.93,22.0620
2998,96,183.07,1.9070
2999,17,358.75,21.1029
