idx,weight,value,ratio
0,56,383.17,6.8423
1,33,293.56,8.8958
2,99,285.38,2.8826
3,65,204.31,3.1432
4,41,212.91,5.1929
5,81,417.73,5.1572
6,46,137.46,2.9883
7,42,186.53,4.4412
8,23,369.87,16.0813
9,69,100.77,1.4604
10,41,114.16,2.7844
11,46,296.55,6.4467
12,100,105.24,1.0524
13,31,357.46,11.5310
14,89,165.80,1.8629
15,6,345.72,57.6200
16,61,375.97,6.1634
17,62,269.67,4.3495
18,95,295.37,3.1092
19,19,373.77,19.6721
50,38,120.72,3.1768
80,3,150.40,50.1333
110,27,308.72,11.4341
140,65,222.44,3.4222
170,30,277.66,9.2553
200,39,383.67,9.8377
230,100,414.19,4.1419
260,91,185.84,2.0422
290,93,274.47,2.9513
320,88,218.31,2.4808
350,54,323.66,5.9937
380,12,345.52,28.7933
410,66,275.73,4.1777
440,77,115.34,1.4979
470,54,259.59,4.8072
500,66,355.15,5.3811
530,99,223.88,2.2614
560,38,385.38,10.1416
590,36,201.91,5.6086
620,58,352.88,6.0841
650,15,126.06,8.4040
680,93,164.69,1.7709
710,68,174.67,2.5687
740,5,265.01,53.0020
770,22,340.71,15.4868
800,5,323.23,64.6460
830,63,205.16,3.2565
860,99,420.42,4.2467
890,39,226.00,5.7949
920,69,147.00,2.1304
980,19,198.86,10.4663
981,90,396.03,4.4003
982,71,331.77,4.6728
983,79,137.51,1.7406
984,4,234.63,58.6575
985,24,264.81,11.0337
986,24,361.23,15.0513
987,88,242.68,2.7577
988,43,196.75,4.5756
989,96,408.34,4.2535
990,51,325.34,6.3792
991,72,345.31,4.7960
992,55,328.09,5.9653
993,35,363.06,10.3731
994,77,385.96,5.0125
995,86,276.64,3.2167
996,97,208.08,2.1452
997,79,329.57,4.1718
998,55,211.08,3.8378
999,57,420.11,7.3704
