idx,weight,value,ratio
0,15,113.92,7.5947
1,21,135.06,6.4314
2,68,266.65,3.9213
3,79,202.13,2.5586
4,84,246.99,2.9404
5,61,337.45,5.5320
6,84,222.78,2.6521
7,75,309.80,4.1307
8,63,131.92,2.0940
9,43,363.09,8.4440
10,52,220.31,4.2367
11,45,241.62,5.3693
12,46,215.98,4.6952
13,36,358.84,9.9678
14,47,426.42,9.0728
15,28,286.30,10.2250
16,67,345.65,5.1590
17,39,389.54,9.9882
18,77,351.87,4.5697
19,97,149.41,1.5403
50,88,248.02,2.8184
80,58,147.72,2.5469
110,99,151.35,1.5288
140,14,140.53,10.0379
170,31,368.93,11.9010
200,78,167.11,2.1424
230,22,413.92,18.8145
260,28,425.03,15.1796
290,47,389.75,8.2926
320,66,334.46,5.0676
350,8,190.12,23.7650
380,59,134.32,2.2766
410,100,214.55,2.1455
440,6,389.50,64.9167
470,16,322.58,20.1613
500,72,392.14,5.4464
530,9,303.57,33.7300
560,83,372.16,4.4839
590,86,223.53,2.5992
620,23,308.17,13.3987
650,95,321.51,3.3843
680,14,253.86,18.1329
710,51,127.60,2.5020
740,34,213.83,6.2891
770,40,407.33,10.1832
800,29,224.27,7.7334
830,3,395.50,131.8333
860,91,310.65,3.4137
890,5,150.21,30.0420
920,92,322.66,3.5072
980,16,301.56,18.8475
981,16,180.06,11.2538
982,36,280.67,7.7964
983,91,276.49,3.0384
984,12,188.57,15.7142
985,51,415.42,8.1455
986,57,280.62,4.9232
987,65,303.45,4.6685
988,5,150.01,30.0020
989,45,328.09,7.2909
990,71,403.59,5.6844
991,23,338.69,14.7257
992,52,291.09,5.5979
993,71,345.29,4.8632
994,84,145.12,1.7276
995,17,278.67,16.3924
996,92,286.50,3.1141
997,97,378.27,3.8997
998,93,337.28,3.6267
999,73,333.94,4.5745
