idx,weight,value,ratio
0,75,335.70,4.4760
1,92,241.42,2.6241
2,87,268.52,3.0864
3,13,422.50,32.5000
4,69,369.99,5.3622
5,30,302.33,10.0777
6,37,271.67,7.3424
7,32,219.80,6.8688
8,19,198.80,10.4632
9,27,373.13,13.8196
10,84,221.80,2.6405
11,19,391.78,20.6200
12,99,417.32,4.2154
13,50,212.00,4.2400
14,63,310.52,4.9289
15,33,382.15,11.5803
16,17,394.11,23.1829
17,74,415.39,5.6134
18,76,163.92,2.1568
19,77,197.07,2.5594
83,40,340.21,8.5053
146,9,388.90,43.2111
209,49,346.84,7.0784
272,39,226.40,5.8051
335,97,164.22,1.6930
398,7,126.49,18.0700
461,90,224.55,2.4950
524,63,145.44,2.3086
587,41,275.58,6.7215
650,58,412.09,7.1050
713,92,279.78,3.0411
776,80,115.00,1.4375
839,22,190.28,8.6491
902,69,296.98,4.3041
965,71,149.91,2.1114
1028,36,288.69,8.0192
1091,64,201.82,3.1534
1154,97,386.59,3.9855
1217,38,402.76,10.5989
1280,13,279.54,21.5031
1343,94,427.53,4.5482
1406,22,258.67,11.7577
1469,81,210.83,2.6028
1532,38,285.12,7.5032
1595,32,387.55,12.1109
1658,65,346.23,5.3266
1721,98,145.54,1.4851
1784,62,123.64,1.9942
1847,48,426.84,8.8925
1910,89,420.73,4.7273
1980,59,222.54,3.7719
1981,52,123.07,2.3667
1982,59,131.06,2.2214
1983,65,320.26,4.9271
1984,28,115.43,4.1225
1985,61,309.72,5.0774
1986,24,251.96,10.4983
1987,3,408.60,136.2000
1988,63,396.45,6.2929
1989,79,183.45,2.3222
1990,64,166.62,2.6034
1991,5,340.08,68.0160
1992,18,305.08,16.9489
1993,25,326.24,13.0496
1994,37,190.00,5.1351
1995,20,258.68,12.9340
1996,14,187.57,13.3979
1997,88,221.72,2.5195
1998,39,336.44,8.6267
1999,29,306.38,10.5648
