idx,weight,value,ratio
0,20,131.36,6.5680
1,1,201.71,201.7100
2,34,371.51,10.9268
3,54,203.70,3.7722
4,60,127.08,2.1180
5,5,417.19,83.4380
6,72,218.83,3.0393
7,76,240.76,3.1679
8,12,345.24,28.7700
9,40,364.55,9.1137
10,8,324.47,40.5588
11,69,267.33,3.8743
12,80,259.24,3.2405
13,87,109.61,1.2599
14,74,290.09,3.9201
15,95,233.83,2.4614
16,60,111.33,1.8555
17,66,166.06,2.5161
18,22,225.73,10.2605
19,93,160.29,1.7235
244,8,272.34,34.0425
468,92,307.91,3.3468
692,25,385.08,15.4032
916,90,421.27,4.6808
1140,56,170.10,3.0375
1364,9,204.36,22.7067
1588,51,277.66,5.4443
1812,65,307.42,4.7295
2036,56,374.94,6.6954
2260,74,397.65,5.3736
2484,21,129.16,6.1505
2708,84,142.25,1.6935
2932,96,190.54,1.9848
3156,75,191.46,2.5528
3380,59,226.30,3.8356
3604,31,212.48,6.8542
3828,96,231.30,2.4094
4052,100,200.19,2.0019
4276,17,200.44,11.7906
4500,98,149.47,1.5252
4724,76,128.58,1.6918
4948,37,382.88,10.3481
5172,51,338.30,6.6333
5396,1,239.94,239.9400
5620,92,169.10,1.8380
5844,6,370.89,61.8150
6068,13,271.24,20.8646
6292,32,115.25,3.6016
6516,64,311.90,4.8734
6740,27,123.26,4.5652
6980,37,334.39,9.0376
6981,39,210.35,5.3936
6982,31,101.92,3.2877
6983,82,226.93,2.7674
6984,30,145.96,4.8653
6985,86,273.17,3.1764
6986,29,157.42,5.4283
6987,99,156.86,1.5844
6988,93,415.08,4.4632
6989,82,148.66,1.8129
6990,51,248.69,4.8763
6991,91,338.96,3.7248
6992,50,196.78,3.9356
6993,28,151.49,5.4104
6994,29,332.79,11.4755
6995,49,399.70,8.1571
6996,28,176.41,6.3004
6997,37,277.48,7.4995
6998,19,200.59,10.5574
6999,4,190.01,47.5025
