idx,weight,value,ratio
0,81,231.11,2.8532
1,16,311.51,19.4694
2,17,171.15,10.0676
3,81,201.64,2.4894
4,53,349.85,6.6009
5,93,134.00,1.4409
6,44,184.06,4.1832
7,23,153.37,6.6683
8,43,201.42,4.6842
9,93,230.46,2.4781
10,72,390.75,5.4271
11,22,243.37,11.0623
12,41,117.35,2.8622
13,16,279.71,17.4819
14,9,268.60,29.8444
15,31,368.48,11.8865
16,20,267.45,13.3725
17,58,225.41,3.8864
18,91,122.08,1.3415
19,78,414.55,5.3147
1309,84,159.94,1.9040
2598,83,160.28,1.9311
3887,14,199.34,14.2386
5176,68,103.33,1.5196
6465,66,269.81,4.0880
7754,67,300.07,4.4787
9043,98,338.29,3.4519
10332,19,364.07,19.1616
11621,26,168.32,6.4738
12910,38,339.20,8.9263
14199,100,364.29,3.6429
15488,15,177.49,11.8327
16777,31,305.86,9.8665
18066,67,105.85,1.5799
19355,44,191.85,4.3602
20644,30,335.56,11.1853
21933,58,158.66,2.7355
23222,83,370.47,4.4635
24511,48,415.69,8.6602
25800,89,299.86,3.3692
27089,4,278.00,69.5000
28378,72,399.73,5.5518
29667,79,366.39,4.6378
30956,73,117.81,1.6138
32245,23,284.50,12.3696
33534,37,302.73,8.1819
34823,56,303.07,5.4120
36112,35,249.81,7.1374
37401,50,343.93,6.8786
38690,23,305.25,13.2717
39980,16,377.51,23.5944
39981,32,141.10,4.4094
39982,2,334.46,167.2300
39983,13,370.80,28.5231
39984,66,258.00,3.9091
39985,34,236.30,6.9500
39986,85,141.46,1.6642
39987,78,250.01,3.2053
39988,11,246.29,22.3900
39989,34,311.65,9.1662
39990,57,198.77,3.4872
39991,84,179.91,2.1418
39992,55,368.27,6.6958
39993,27,162.43,6.0159
39994,67,294.47,4.3951
39995,90,150.10,1.6678
39996,53,235.94,4.4517
39997,79,200.73,2.5409
39998,28,279.55,9.9839
39999,94,143.01,1.5214
