idx,value
0,182
1,1897
2,829
3,2646
4,3944
5,733
6,4241
7,1789
8,6064
9,2241
10,2113
11,39
12,4981
13,7423
14,3952
15,5133
16,9288
17,7795
18,8012
19,1189
20,1738
21,4924
22,6948
23,6868
24,5628
25,9157
26,6185
27,6274
28,3431
29,1717
30,3415
31,3102
32,3982
33,3348
34,598
35,8498
36,5760
37,4767
38,7325
39,4841
40,5810
41,1021
42,774
43,8493
44,8781
45,8226
46,40
47,7317
48,2515
49,7108
50,9600
51,7503
52,4408
53,8605
54,9553
55,2123
56,7535
57,1761
58,9695
59,5065
60,6946
61,7200
62,5062
63,882
64,1910
65,3022
66,6640
67,4845
68,7086
69,9617
70,1622
71,491
72,6271
73,3818
74,2918
75,2661
76,7860
77,7464
78,8455
79,4535
80,5666
81,6665
82,7193
83,1132
84,8527
85,3299
86,2416
87,556
88,4207
89,5010
90,6435
91,5891
92,1487
93,515
94,1103
95,9668
96,7014
97,7200
98,2
99,2270
100,5432
101,3708
102,7285
103,6477
104,2429
105,8786
106,3353
107,5860
108,1073
109,5689
110,6357
111,5194
112,5550
113,8075
114,8622
115,7395
116,5255
117,5414
118,3433
119,1137
120,6933
121,4930
122,8221
123,7034
124,1480
125,7652
126,1133
127,4411
128,1558
129,50
130,3604
131,9133
132,8376
133,6968
134,5489
135,231
136,4645
137,8123
138,8133
139,3028
140,110
141,3260
142,7467
143,6327
144,2653
145,8063
146,7432
147,3228
148,1352
149,5629
150,7059
151,2529
152,1754
153,967
154,1510
155,4549
156,1411
157,2268
158,7461
159,2527
160,4254
161,860
162,543
163,7106
164,1860
165,8061
166,5667
167,3343
168,800
169,1918
170,4117
171,6876
172,5027
173,3739
174,3761
175,196
176,1144
177,8480
178,9038
179,5039
180,6410
181,3361
182,3239
183,4788
184,2852
185,3850
186,2934
187,7804
188,1370
189,7826
190,1730
191,5592
192,5799
193,1270
194,1323
195,1174
196,9126
197,7155
198,1043
199,2639
200,7988
201,8147
202,9407
203,3429
204,5942
205,2188
206,8238
207,3227
208,2711
209,3525
210,729
211,3621
212,2853
213,3994
214,2940
215,435
216,4701
217,498
218,5460
219,9479
220,1507
221,992
222,3834
223,4879
224,567
225,8039
226,8319
227,4095
228,1780
229,385
230,3096
231,3567
232,4219
233,4369
234,5675
235,6485
236,8576
237,2408
238,7690
239,1540
240,2723
241,5285
242,9969
243,2005
244,1473
245,7184
246,923
247,3381
248,7148
249,185
250,7769
251,2799
252,344
253,5468
254,1925
255,8587
256,4919
257,8584
258,8548
259,7480
260,1496
261,5393
262,7098
263,1269
264,2252
265,8802
266,7539
267,1462
268,1481
269,6934
270,7167
271,2645
272,5762
273,5433
274,1629
275,9304
276,4822
277,8555
278,2971
279,7234
280,328
281,1765
282,7645
283,4300
284,9232
285,5391
286,5180
287,1844
288,1664
289,7137
290,1969
291,7942
292,5545
293,1321
294,9346
295,7819
296,1294
297,9244
298,1484
299,6016
300,505
301,2576
302,2739
303,6520
304,2862
305,6297
306,2453
307,7940
308,2125
309,770
310,3125
311,8066
312,5291
313,4751
314,279
315,1060
316,4051
317,1937
318,9335
319,6707
320,2824
321,3050
322,4879
323,947
324,6799
325,3282
326,1624
327,2216
328,9771
329,1384
330,6945
331,6650
332,5401
333,9340
334,8734
335,7301
336,4269
337,2557
338,9362
339,883
340,7132
341,4159
342,9217
343,7806
344,5068
345,1007
