idx,value
0,7584
1,9164
2,5795
3,2125
4,5828
5,3405
6,7477
7,5413
8,9072
9,3404
10,4959
11,4800
12,443
13,1732
14,9534
15,4076
16,1966
17,216
18,6075
19,3949
20,218
21,8325
22,1118
23,5284
24,2636
25,485
26,1401
27,3588
28,1328
29,7669
30,1268
31,2112
32,2981
33,1770
34,4500
35,2616
36,6624
37,863
38,5602
39,8374
40,5074
41,3889
42,2409
43,5524
44,2446
45,9007
46,1504
47,7537
48,2918
49,7980
50,4457
51,8260
52,8693
53,7480
54,8248
55,7247
56,3587
57,6430
58,3704
59,1591
60,1060
61,4751
62,6539
63,3667
64,562
65,9054
66,7793
67,7940
68,4828
69,7613
70,5131
71,2052
72,8607
73,6136
74,8127
75,4625
76,8692
77,4352
78,9631
79,4188
80,5290
81,7884
82,2757
83,6125
84,7814
85,7547
86,5170
87,8858
88,4056
89,9500
90,360
91,2120
92,8607
93,1586
94,1700
95,1937
96,1168
97,530
98,864
99,4102
