idx,value
0,365
1,1216
2,5415
3,6704
4,4504
5,1254
6,4698
7,1702
8,3209
9,5629
10,3830
11,2505
12,9574
13,6513
14,1529
15,3026
16,3768
17,1031
18,2229
19,7851
20,5646
21,7121
22,5810
23,6470
24,4195
25,5857
26,9816
27,1409
28,5981
29,6401
30,7628
31,7112
32,7688
33,1825
34,443
35,9867
36,2578
37,4482
38,1605
39,8834
40,2136
41,8980
42,524
43,7391
44,5489
45,1435
46,254
47,7635
48,633
49,3079
50,9982
51,7251
52,8993
53,5347
54,5274
55,1580
56,2245
57,1598
58,1753
59,5637
60,5262
61,8121
62,1875
63,9540
64,5177
65,5921
66,1989
67,4243
68,8727
69,8973
70,5492
71,3796
72,1271
73,2314
74,8834
75,2275
76,6241
77,6725
78,7072
79,4203
80,7364
81,2760
82,5907
83,8924
84,6867
85,5961
86,2442
87,2828
88,2442
89,1983
90,2030
91,1867
92,4696
93,9207
94,3018
95,7995
96,9960
97,310
98,2286
99,3471
