idx,value
0,188
1,626
2,3790
3,8005
4,4573
5,8586
6,466
7,8703
8,6319
9,9945
10,1817
11,127
12,3723
13,7748
14,5569
15,7041
16,156
17,1877
18,1674
19,5471
20,1801
21,3118
22,4209
23,898
24,2066
25,8507
26,6034
27,6458
28,649
29,9719
30,9417
31,2608
32,9076
33,2018
34,3290
35,5850
36,9872
37,9361
38,6483
39,2895
40,4152
41,2118
42,6974
43,619
44,3701
45,9154
46,5899
47,3285
48,8328
49,6712
50,2669
51,3984
52,2407
53,4340
54,851
55,1775
56,324
57,6892
58,4554
59,860
60,116
61,7766
62,5586
63,2362
64,1950
65,3658
66,8814
67,9785
68,1650
69,5369
70,5552
71,8906
72,8685
73,6638
74,8372
75,1477
76,9610
77,2147
78,9499
79,8391
80,1578
81,2840
82,8955
83,4031
84,24
85,8608
86,3973
87,203
88,3254
89,4188
90,9256
91,5215
92,8700
93,12
94,2980
95,2054
96,5235
97,7235
98,721
99,9691
100,9532
101,8698
102,9600
103,5754
104,3830
105,9960
106,5907
107,7363
108,1808
109,4912
110,2777
111,5791
112,9499
113,5835
114,924
115,4326
116,6708
117,89
118,3727
119,2224
120,9857
121,4354
122,6450
123,3242
124,7274
125,8641
126,5384
127,4060
128,9994
129,515
130,2203
131,8648
132,1397
133,8365
134,8702
135,4806
136,3676
137,3548
138,7842
139,7214
140,3375
141,2560
142,1357
143,1269
144,9091
145,124
146,4569
147,7851
148,8932
149,2647
150,8409
151,1764
152,3772
153,1894
154,817
155,4631
156,2197
157,1694
158,7494
159,339
160,1932
161,9045
162,2052
163,4008
164,3382
165,5848
166,447
167,2549
168,4183
169,4946
170,9739
171,4238
172,6720
173,1596
174,80
175,4032
176,297
177,2368
178,8712
179,6328
180,5264
181,2610
182,6603
183,7872
184,3280
185,4625
186,9870
187,7804
188,6390
189,6906
190,4295
191,6277
192,4160
193,1678
194,6355
195,9091
196,3719
197,6789
198,3340
199,592
200,8718
201,2243
202,5525
203,7610
204,9739
205,986
206,232
207,106
208,9397
209,3617
210,5011
211,7443
212,2527
213,2163
214,5037
215,7484
216,9605
217,906
218,8415
219,9922
220,5492
221,4477
222,8913
223,9608
224,9967
225,7816
226,2338
227,1488
228,7823
229,8220
230,637
231,5663
232,5290
233,4070
234,1960
235,2476
236,4119
237,9396
238,7855
239,633
240,5617
241,7158
242,720
243,3157
244,5802
245,1489
246,5192
247,4352
248,306
249,2409
250,2398
251,2417
252,4472
253,8768
254,6462
255,4885
256,6208
257,170
258,57
259,7529
260,438
261,5172
262,9274
263,9610
264,9314
265,5140
266,8636
267,1018
268,2573
269,9650
270,7131
271,182
272,2818
273,5127
274,3161
275,4165
276,3960
277,4932
278,4994
279,8420
280,3120
281,4119
282,593
283,2688
284,3786
285,8298
286,4036
287,5620
288,988
289,301
290,6862
291,9508
292,7333
293,1301
294,8171
295,3864
296,3615
297,708
298,7977
299,1389
300,6068
301,5962
302,9766
303,7368
304,6739
305,7436
306,5252
307,7133
308,9666
309,997
310,1588
311,911
312,5958
313,1563
314,6306
315,9641
316,4913
317,1283
318,2413
319,6604
320,5979
321,9239
322,5706
323,1226
324,9764
325,2727
326,9929
327,514
328,121
329,3806
330,8008
331,477
332,6597
333,550
334,1142
335,1465
336,522
337,7310
338,5515
339,2995
340,5536
341,5115
342,8567
343,6475
344,5836
345,813
346,6744
347,8146
348,3125
349,5636
350,1583
351,3287
352,5796
353,2402
354,677
355,5219
356,2778
357,6963
358,1898
359,6769
360,9239
361,9082
362,9583
363,3906
364,2711
365,7022
366,5861
367,4095
368,255
369,1285
370,2533
371,1424
372,9049
373,2415
374,8737
375,4878
376,7180
