idx,value
0,179
1,1149
2,2965
3,1351
4,6397
5,6806
6,1128
7,4716
8,2320
9,8389
10,2261
11,9994
12,2842
13,3645
14,4528
15,7795
16,5238
17,2138
18,6182
19,433
20,323
21,9443
22,1933
23,2622
24,3793
25,8098
26,7644
27,2567
28,3438
29,4100
30,415
31,4734
32,51
33,396
34,5636
35,9823
36,3705
37,1085
38,2746
39,8582
40,6640
41,4088
42,443
43,8815
44,2704
45,4146
46,7110
47,7949
48,1841
49,4538
50,4450
51,9263
52,4025
53,2122
54,1136
55,912
56,1140
57,9195
58,4497
59,783
60,6745
61,8302
62,9800
63,143
64,506
65,4088
66,1936
67,991
68,3420
69,1741
70,1041
71,9900
72,7832
73,3793
74,3807
75,3253
76,5600
77,3738
78,164
79,8991
80,2710
81,7194
82,4928
83,1914
84,10
85,5645
86,254
87,9348
88,3299
89,9038
90,24
91,4845
92,5649
93,766
94,1549
95,2091
96,1520
97,2183
98,4642
99,8559
