idx,value
0,371
1,2713
2,8375
3,2063
4,2365
5,9107
6,923
7,8615
8,3464
9,6101
10,3535
11,2593
12,1084
13,6838
14,3146
15,4934
16,4636
17,5114
18,5890
19,2132
20,5709
21,5315
22,3072
23,499
24,633
25,5206
26,6897
27,1592
28,3199
29,4403
30,3630
31,6618
32,2782
33,496
34,3135
35,7219
36,3922
37,1845
38,764
39,4120
40,477
41,77
42,6724
43,9517
44,410
45,2363
46,6113
47,3603
48,9214
49,5451
50,283
51,3731
52,6992
53,1083
54,6572
55,4000
56,5034
57,6729
58,6612
59,1432
60,5664
61,8687
62,2399
63,1019
64,5217
65,6557
66,4163
67,1952
68,3292
69,4725
70,2190
71,2211
72,917
73,5133
74,7056
75,1091
76,7991
77,4176
78,884
79,8060
80,3276
81,8934
82,7669
83,1824
84,1131
85,1270
86,6767
87,5243
88,1490
89,1161
90,4851
91,1191
92,9140
93,8704
94,4895
95,381
96,8180
97,3112
98,3005
99,893
100,8163
101,4573
102,3995
103,5328
104,7351
105,62
106,1883
107,6844
108,9596
109,5935
110,843
111,9736
112,6879
113,3588
114,4936
115,1793
116,1865
117,93
118,7055
119,76
120,1272
121,1180
122,4533
123,300
124,756
125,8495
126,8263
127,4230
128,4049
129,5690
130,5732
131,2948
132,2784
133,9605
134,5257
135,3799
136,1451
137,1430
138,9693
139,6112
140,6481
141,992
142,4127
143,721
144,4718
145,5212
146,2876
147,3295
148,6719
149,2534
150,8358
151,3306
152,4757
153,12
154,4177
155,6929
156,4200
157,723
158,3328
159,1680
160,5373
161,5899
162,9551
163,5755
164,5195
165,9427
166,3202
167,3071
168,602
169,6351
170,6270
171,8663
172,6461
173,5161
174,5318
175,8221
176,4434
177,2919
178,9578
179,4721
180,5944
181,9436
182,2506
183,3791
184,5264
185,1425
186,2369
187,748
188,5879
189,6052
190,5664
191,2497
192,3811
193,353
194,6200
195,1227
196,3387
197,1649
198,7037
199,3714
200,1292
201,785
202,231
203,8536
204,2841
205,116
206,5450
207,9029
208,3
209,9131
210,8728
211,3201
212,6346
213,8564
214,3317
215,8273
216,7986
217,2497
218,7756
219,7398
220,8761
221,3771
222,7297
223,6034
224,1193
225,4518
226,8550
227,8940
228,217
229,8038
230,2417
231,8646
232,7416
233,5698
234,1326
235,1277
236,5485
237,5529
238,7537
239,5056
240,1112
241,4050
242,4079
243,4597
244,2989
245,2920
246,6590
247,8617
248,8291
249,9158
250,2890
251,9559
252,6840
253,2863
254,9465
255,2298
256,9527
257,8865
258,9537
259,1046
260,8492
261,8987
262,2520
263,5908
264,7511
265,909
266,6604
267,8396
268,2512
269,5230
270,1045
271,1640
272,3786
273,9492
274,520
275,6278
276,7498
277,9663
278,9037
279,1807
280,650
281,2343
282,4851
283,342
284,2361
285,9240
286,9858
287,8115
288,9926
289,5483
290,4929
291,5664
292,4813
293,5655
294,3129
295,1427
296,3056
297,4007
298,5946
299,2910
300,3066
301,4445
302,1885
303,8163
304,4224
305,9511
306,233
307,4348
308,1449
309,4578
310,9354
311,7178
312,9712
313,765
314,6319
315,2668
316,4135
317,5743
318,5379
319,3731
320,910
321,8699
322,8862
323,4116
324,2340
325,5058
326,3084
327,3485
328,1868
329,3129
330,2063
331,9339
332,7316
333,3630
334,7952
335,1899
336,8803
337,1477
338,1004
339,6415
340,8513
341,4216
342,8221
343,1956
344,7532
345,286
346,5574
347,9890
348,920
349,2139
350,2147
351,6211
352,8406
353,1689
354,0
355,4760
356,4184
357,6676
358,2137
359,5480
360,1939
361,5260
362,8802
363,5402
364,6454
365,7399
366,824
367,774
368,3002
369,4374
370,680
371,6055
372,7851
373,3753
374,7230
375,8483
376,807
377,3477
378,3728
379,9630
380,6340
381,660
382,5500
383,6043
384,2982
385,8173
386,911
387,1925
388,8321
389,6918
390,2024
391,3165
392,1436
393,2392
394,4541
395,5861
396,2695
397,4530
398,9596
399,6765
400,2478
401,9424
402,8244
403,8347
404,2414
405,8061
406,2725
407,1456
408,8104
409,4519
410,1957
411,1017
412,3972
413,2162
414,4453
415,7763
416,5384
417,5184
418,8692
419,4211
420,2680
421,1887
422,5394
423,180
424,7632
425,2595
426,6023
427,4210
428,6512
429,3494
430,1508
431,5271
432,7527
433,1165
434,4442
435,2644
436,7875
437,8941
438,4730
439,5155
440,936
441,5374
442,7038
443,6378
444,1184
445,2734
446,2774
447,9330
448,5457
449,7529
450,8805
451,3417
452,6213
453,6312
454,5181
455,2517
456,5206
457,7255
458,2823
459,7146
460,2168
461,5228
462,1320
463,4046
464,3084
465,212
466,3921
467,8730
468,4770
469,2352
470,8022
471,52
472,2686
473,4081
474,1345
475,5083
476,1903
477,7087
478,679
479,8290
480,3228
481,6096
482,9547
483,5617
484,9967
485,151
486,5234
487,6824
488,9015
489,5531
490,4583
491,8405
492,488
493,6522
494,1936
495,5960
496,4262
497,494
498,1393
499,6197
500,818
501,9487
502,1055
503,6202
504,1379
505,6456
506,7319
507,2466
508,9
509,5166
510,2064
511,73
512,3359
513,2318
514,9279
515,2849
516,2175
517,7526
518,8618
519,3796
520,5786
521,5432
522,6542
523,7691
524,9480
525,2171
526,1012
527,3470
528,5276
529,946
530,4402
531,5069
532,5835
533,160
534,8734
535,478
536,2447
537,1628
538,3001
539,2600
540,1480
541,8306
542,5577
543,5232
544,690
545,3706
546,4727
547,4194
548,7628
549,2253
550,4843
551,7554
552,9656
553,7205
554,2308
555,6211
556,9247
557,5588
558,8189
559,9688
560,519
561,6584
562,3324
563,9641
564,2359
565,3885
566,716
567,8712
568,1497
569,4804
570,9261
571,1061
572,545
573,307
574,6315
575,3903
576,6398
577,2780
578,2685
579,9164
580,7679
581,2307
582,8174
583,1802
584,6632
585,5482
586,17
587,1142
588,8149
589,2655
590,4017
591,78
592,1790
593,1272
594,4135
595,5714
596,6715
597,9870
598,335
599,784
600,3242
601,8968
602,9805
603,2161
604,4159
605,6361
606,8588
607,6877
608,4603
609,909
610,8311
611,4310
612,6400
613,2591
614,6556
615,900
616,8435
617,4367
618,6173
619,6701
620,5571
621,6179
622,1033
623,7991
624,5530
625,8347
626,2875
627,7824
628,6258
629,1481
630,145
631,4462
632,2569
633,417
634,3936
635,1715
636,8600
637,1357
638,389
639,4532
640,9600
641,4
642,1295
643,9386
644,1654
645,7708
646,4380
647,6024
648,3121
649,2349
650,2881
651,7533
652,6385
653,5896
654,3758
655,3597
656,2818
657,2760
658,1184
659,3707
660,2130
661,4552
662,4681
663,5402
664,6239
665,8758
666,1021
667,4276
668,1172
669,2646
670,1695
671,5130
672,9254
673,9753
674,9692
675,8414
676,2330
677,6415
678,3557
679,1773
680,8921
681,155
682,2307
683,5329
684,7558
685,5703
686,4854
687,486
688,2143
689,7240
690,6302
691,907
692,3731
693,3538
694,9390
695,6075
696,3956
697,4143
698,6030
699,365
700,7436
701,6204
702,4464
703,2056
704,7140
705,5925
706,9925
707,6923
708,8339
709,9938
710,1377
711,9564
712,8708
713,130
714,6684
715,7744
716,3243
717,9191
718,7274
719,1835
720,3865
721,7825
722,5534
723,168
724,8718
725,8128
726,7242
727,2378
728,4527
729,36
730,9530
731,7540
732,1208
733,472
734,4338
735,1046
736,1475
737,7599
738,2948
739,873
740,617
741,8125
742,8183
743,8701
744,2761
745,4088
746,9381
747,3937
748,2455
749,9648
750,4883
751,8707
752,1287
753,6637
754,9014
755,969
756,1306
757,2169
758,2116
759,9791
760,4168
761,446
762,6617
763,6561
764,2863
765,5281
766,3403
767,5724
768,2346
769,4399
770,848
771,8800
772,1126
773,8822
774,6927
775,3608
776,3233
777,8231
778,3828
779,1805
780,4163
781,8987
782,3528
783,4520
784,6818
785,804
786,5248
787,9831
788,1201
789,901
790,2644
791,8914
792,2040
793,5460
794,9059
795,2462
796,1034
797,8463
798,1269
799,2065
800,18
801,9261
802,241
803,9671
804,2848
805,8503
806,3617
807,3829
808,7987
809,6535
810,6290
811,748
812,6663
813,7119
814,5504
815,5040
816,5809
817,6300
818,34
819,3706
820,1896
821,7565
822,8370
823,5467
824,871
825,2943
826,384
827,3473
828,2608
829,3707
830,5687
831,8399
832,9395
833,2898
834,1647
835,3960
836,2559
837,567
838,2405
839,1260
840,8456
841,3518
842,3096
843,3366
844,970
845,5348
846,9557
847,6693
848,2717
849,4111
850,4774
851,9354
852,681
853,6791
854,3590
855,3057
856,6332
857,4070
858,5256
859,7636
860,1034
861,9932
862,6393
863,940
864,20
865,4869
866,2882
867,873
868,6988
869,6415
870,2195
871,5684
872,1784
873,7014
874,4477
875,2067
876,1893
877,1907
878,9182
879,5485
880,2173
881,4069
882,9234
883,1198
884,7564
885,142
886,9048
887,4877
888,4272
889,6097
890,8403
891,3421
892,783
893,4682
894,7874
895,3793
896,6078
897,9743
898,4595
899,6659
900,495
901,533
902,8339
903,2006
904,4218
905,5399
906,2424
907,2458
908,3567
909,1954
910,1555
911,8081
912,3450
913,6548
914,7712
915,3472
916,1881
917,3335
918,4704
919,2007
920,9642
921,4056
922,4617
923,804
924,6280
925,3501
926,2764
927,7877
928,4696
929,935
930,3032
931,7998
932,1855
933,2643
934,2637
935,1946
936,2182
937,5895
938,7299
939,6116
940,7313
941,348
942,3068
943,5192
944,460
945,2470
946,5639
947,3606
948,1222
949,92
950,6966
951,7879
952,2035
953,6292
954,2595
955,6803
956,9581
957,3326
958,5678
959,4770
960,9339
961,2405
962,7274
963,3073
964,4709
965,6625
966,3337
967,648
968,3974
969,736
970,2293
971,7193
972,3778
973,1638
974,9329
975,6492
976,7290
977,6066
978,8511
979,6073
980,1438
981,9988
982,1459
983,1045
984,3987
985,1692
986,2791
987,8865
988,7157
989,5252
990,5984
991,1166
992,6414
993,5889
994,2001
995,4342
996,2648
997,8822
998,8976
999,5607
1000,831
1001,2697
1002,8966
1003,4737
1004,4635
1005,6234
1006,2394
1007,2931
1008,9901
1009,2113
1010,4656
1011,5777
1012,2167
1013,2295
1014,3021
1015,712
1016,2673
1017,5224
1018,4030
1019,5941
1020,345
1021,72
1022,3962
1023,579
1024,6970
1025,1972
1026,9190
1027,2995
1028,8593
1029,4202
1030,696
1031,9441
1032,3100
1033,8939
1034,6174
1035,7604
1036,9811
1037,5311
1038,6303
1039,8886
1040,8892
1041,8698
1042,8002
1043,4661
1044,1306
1045,8750
1046,5709
1047,2906
1048,1605
1049,9633
1050,3505
1051,1256
1052,3200
1053,1041
1054,1877
1055,9943
1056,3927
1057,6245
1058,1951
1059,3425
1060,951
1061,2965
1062,9930
1063,4348
1064,8531
1065,3325
1066,5605
1067,618
1068,259
1069,8669
1070,1544
1071,8317
1072,5040
1073,7221
1074,2541
1075,639
1076,3310
1077,5248
1078,28
1079,8769
1080,2776
1081,6510
1082,166
1083,4002
1084,3571
1085,2807
1086,8439
1087,8546
1088,3148
1089,3148
1090,694
1091,7064
1092,1923
1093,9472
1094,9023
1095,5953
1096,5052
1097,1335
1098,4547
1099,106
1100,723
1101,5805
1102,2285
1103,3072
1104,6528
1105,9626
1106,633
1107,3125
1108,8123
1109,1845
1110,5696
1111,102
1112,50
1113,9687
1114,9639
1115,4875
1116,7561
1117,6946
1118,1577
1119,798
1120,9601
1121,4898
1122,4194
1123,4079
1124,1964
1125,2242
1126,5069
1127,6696
1128,2464
1129,1761
1130,8656
1131,8365
1132,1434
1133,3142
1134,2983
1135,118
1136,7877
1137,1170
1138,4702
1139,272
1140,9483
1141,8294
1142,8883
1143,8288
1144,9162
1145,4613
1146,2075
1147,3306
1148,5067
1149,4731
1150,8435
1151,689
1152,8432
1153,7022
1154,1290
1155,7840
1156,2555
1157,9491
1158,8846
1159,6904
1160,2439
1161,5636
1162,8116
1163,1963
1164,6417
1165,6801
1166,6236
1167,1545
1168,2086
1169,420
1170,4
1171,8968
1172,6612
1173,1274
1174,508
1175,2601
1176,3257
1177,4511
1178,457
1179,7464
1180,9777
1181,1593
1182,2606
1183,101
1184,9422
1185,8360
1186,3656
1187,1521
1188,4504
1189,9132
1190,345
1191,4795
1192,5128
1193,1143
1194,1479
1195,668
1196,6255
1197,7060
1198,3862
1199,6255
1200,8492
1201,3721
1202,163
1203,7605
1204,8062
1205,7161
1206,2402
1207,1895
1208,5655
1209,5917
1210,1675
1211,7022
1212,5330
1213,5428
1214,9664
1215,1568
1216,6998
1217,1064
1218,1331
1219,8731
1220,5802
1221,3235
1222,1541
1223,5399
1224,4251
1225,3170
1226,130
1227,4055
1228,4253
1229,1129
1230,2427
1231,6577
1232,3839
1233,3496
1234,564
1235,3310
1236,7874
1237,6492
1238,8383
1239,5683
1240,4315
1241,5912
1242,1608
1243,7617
1244,230
1245,5525
1246,8867
1247,4443
1248,5757
1249,5063
1250,8883
1251,7350
1252,6538
1253,803
1254,5324
1255,7173
1256,6474
1257,8222
1258,1051
1259,2134
1260,7506
1261,3144
1262,9413
1263,7190
1264,7814
1265,5481
1266,6029
1267,4716
1268,1112
1269,9498
1270,1482
1271,5829
1272,6301
1273,2119
1274,7272
1275,1932
1276,5702
1277,3635
1278,1454
1279,5965
1280,2174
1281,3596
1282,4784
1283,6762
1284,9519
1285,529
1286,4869
1287,5389
1288,331
1289,6114
1290,1292
1291,6415
1292,4135
1293,9703
1294,7050
1295,7896
1296,9210
1297,3188
1298,3143
1299,6424
1300,9399
1301,7803
1302,1179
1303,9317
1304,4390
1305,3778
1306,4051
1307,5846
1308,1226
1309,2902
1310,648
1311,5728
1312,7359
1313,8752
1314,4802
1315,2319
1316,6882
1317,2503
1318,8728
1319,5975
1320,1766
1321,1670
1322,7963
1323,2683
1324,3284
1325,8800
1326,4020
1327,845
1328,1458
1329,3442
1330,6859
1331,4536
1332,7079
1333,5495
1334,6170
1335,5483
1336,3230
1337,9601
1338,9089
1339,6742
1340,8377
1341,1703
1342,5051
1343,1210
1344,2600
1345,4858
1346,305
1347,8108
1348,3483
1349,4812
1350,2973
1351,9978
1352,4132
1353,5795
1354,2082
1355,2690
1356,7888
1357,5354
1358,2682
1359,6079
1360,935
1361,9146
1362,4960
1363,9428
1364,2290
1365,3591
1366,4367
1367,8782
1368,9340
1369,9917
1370,3434
1371,741
1372,8684
1373,4269
1374,9086
1375,2244
1376,3827
1377,5090
1378,2725
1379,2490
1380,3505
1381,1401
1382,7356
1383,5264
1384,5420
1385,2704
1386,9191
1387,9691
1388,3604
1389,6750
1390,148
1391,5988
1392,5888
1393,980
1394,5293
1395,1910
1396,9725
1397,34
1398,130
1399,4327
1400,2185
1401,61
1402,5430
1403,8235
1404,7467
1405,64
1406,9785
1407,3782
1408,1605
1409,3168
1410,9094
1411,9793
1412,1084
1413,1445
1414,3613
1415,351
1416,1031
1417,7157
1418,3204
1419,2912
1420,8183
1421,1763
1422,2746
1423,8085
1424,9206
1425,2936
1426,1308
1427,7060
1428,4035
1429,9697
1430,2571
1431,1279
1432,332
1433,6986
1434,9021
1435,2816
1436,3837
1437,8248
1438,1699
1439,8664
1440,3913
1441,3357
1442,2044
1443,5849
1444,5221
1445,2744
1446,7160
1447,1648
1448,1005
1449,7227
1450,5328
1451,3079
1452,2098
1453,1633
1454,7715
1455,2233
1456,8417
1457,2319
1458,4820
1459,4231
1460,4730
1461,1610
1462,6178
1463,4987
1464,5294
1465,9882
1466,984
1467,2348
1468,7930
1469,9374
1470,8598
1471,6545
1472,3364
1473,3232
1474,7039
1475,5225
1476,2100
1477,1098
1478,8166
1479,5147
1480,7253
1481,1529
1482,674
1483,5193
1484,9612
1485,1761
1486,4281
1487,8954
1488,3992
1489,9745
1490,4940
1491,8743
1492,8506
1493,7272
1494,8496
1495,7622
1496,7687
1497,4023
1498,925
1499,3430
1500,8139
1501,8153
1502,7930
1503,3275
1504,9985
1505,3682
1506,9608
1507,3995
1508,7232
1509,932
1510,477
1511,1959
1512,4632
1513,1991
1514,3348
1515,222
1516,3246
1517,4473
1518,6420
1519,1118
1520,8276
1521,3604
1522,3614
1523,9116
1524,1388
1525,2336
1526,5211
1527,9239
1528,1070
1529,761
1530,4053
1531,1400
1532,3880
1533,7298
1534,6357
1535,8748
1536,5670
1537,8905
1538,8109
1539,6965
1540,4386
1541,6365
1542,7158
1543,5549
1544,2637
1545,3854
1546,6893
1547,2333
1548,2079
1549,9027
1550,6250
1551,1182
1552,5484
1553,1138
1554,1153
1555,6446
1556,424
1557,6620
1558,3996
1559,2245
1560,876
1561,6454
1562,8409
1563,7560
1564,5592
1565,8144
1566,2528
1567,749
1568,8027
1569,879
1570,2040
1571,4912
1572,1122
1573,1213
1574,490
1575,38
1576,2637
1577,2900
1578,6613
1579,1040
1580,3448
1581,1607
1582,3412
1583,2258
1584,2777
1585,1826
1586,701
1587,9492
1588,5381
1589,5171
1590,4508
1591,4169
1592,4408
1593,6312
1594,4863
1595,3023
1596,7508
1597,8955
1598,6003
1599,7718
1600,8233
1601,4892
1602,8191
1603,5652
1604,487
1605,6221
1606,1967
1607,4664
1608,6176
1609,5460
1610,3412
1611,7981
1612,177
1613,860
1614,8458
1615,9810
1616,1954
1617,6765
1618,9930
1619,4056
1620,892
1621,1661
1622,81
1623,3195
1624,4682
1625,3319
1626,4353
1627,9332
1628,2115
1629,3227
1630,6630
1631,2142
1632,408
1633,2310
1634,3420
1635,201
1636,2089
1637,756
1638,2303
1639,2716
1640,6669
1641,3939
1642,6562
1643,7373
1644,4417
1645,4058
1646,3924
1647,4421
1648,1152
1649,4825
1650,3185
1651,4672
1652,6004
1653,4995
1654,3269
1655,1555
1656,1052
1657,6537
1658,8950
1659,2305
1660,2926
1661,313
1662,2402
1663,2703
1664,3311
